  Time                 , V(C10:2)             , V(R10:2)             , V(U2:VOL)            
  0.000000000000e+00  ,0.000000000000e+00  ,2.499738264990e+00  ,2.499738264749e+00  
  2.000000000000e-10  ,1.319460232767e-03  ,2.499845910919e+00  ,2.499630619344e+00  
  4.000000000000e-10  ,2.638868375504e-03  ,2.500139263117e+00  ,2.499337267282e+00  
  8.000030457973e-10  ,5.277340130929e-03  ,2.501770843452e+00  ,2.497705686878e+00  
  1.600009137392e-09  ,1.055136702414e-02  ,2.507773738887e+00  ,2.491702791303e+00  
  3.200021320581e-09  ,2.107610006779e-02  ,2.531126578403e+00  ,2.468349951746e+00  
  6.400045686960e-09  ,4.193939124866e-02  ,2.604346732430e+00  ,2.395129797086e+00  
  1.280009441972e-08  ,8.218904326573e-02  ,2.768520661471e+00  ,2.230955862835e+00  
  2.242624455094e-08  ,1.360137183385e-01  ,2.991424158424e+00  ,2.008052354504e+00  
  4.126131229997e-08  ,2.021358448017e-01  ,3.281489865857e+00  ,1.717986619725e+00  
  6.126165085435e-08  ,1.969935631627e-01  ,3.297842737201e+00  ,1.701633746590e+00  
  8.126198940873e-08  ,1.166039728595e-01  ,3.004999723307e+00  ,1.994476788266e+00  
  1.012623279631e-07  ,-8.325829805696e-03  ,2.521784267726e+00  ,2.477692262642e+00  
  1.212626665175e-07  ,-1.300753443680e-01  ,2.017065533467e+00  ,2.982410979723e+00  
  1.412630050719e-07  ,-2.021388720884e-01  ,1.705086298276e+00  ,3.294390186332e+00  
  1.612633436263e-07  ,-1.969896936834e-01  ,1.686621486427e+00  ,3.312854995707e+00  
  1.812636821806e-07  ,-1.165946846723e-01  ,1.980920729525e+00  ,3.018555780738e+00  
  2.012640207350e-07  ,8.336988812888e-03  ,2.467726096707e+00  ,2.531750433646e+00  
  2.212643592894e-07  ,1.300841116942e-01  ,2.965928665510e+00  ,2.033547848786e+00  
  2.412646978438e-07  ,2.021418988033e-01  ,3.282555702612e+00  ,1.716920783396e+00  
  2.612650363982e-07  ,1.969858236471e-01  ,3.297880136880e+00  ,1.701596347057e+00  
  2.812653749526e-07  ,1.165853961554e-01  ,3.005787684854e+00  ,1.993688826583e+00  
  3.012657135069e-07  ,-8.348147796502e-03  ,2.522233888923e+00  ,2.477242640952e+00  
  3.212660520613e-07  ,-1.300928786525e-01  ,2.017450115760e+00  ,2.982026397541e+00  
  3.412663906157e-07  ,-2.021449249466e-01  ,1.705576985315e+00  ,3.293899499215e+00  
  3.612667291701e-07  ,-1.969819530537e-01  ,1.687111539447e+00  ,3.312364943131e+00  
  3.812670677245e-07  ,-1.165761073088e-01  ,1.981498146709e+00  ,3.017978364024e+00  
  4.012674062788e-07  ,8.359306756505e-03  ,2.468283550424e+00  ,2.531192979284e+00  
  4.212677448332e-07  ,1.301016452429e-01  ,2.966498169552e+00  ,2.032978344890e+00  
  4.412680833876e-07  ,2.021479505182e-01  ,3.283054997295e+00  ,1.716421488574e+00  
  4.612684219420e-07  ,1.969780819031e-01  ,3.298342011084e+00  ,1.701134473054e+00  
  4.812687604964e-07  ,1.165668181324e-01  ,3.006185549584e+00  ,1.993290961651e+00  
  5.012690990508e-07  ,-8.370465692868e-03  ,2.522617726683e+00  ,2.476858803220e+00  
  5.212694376051e-07  ,-1.301104114654e-01  ,2.017848285422e+00  ,2.981628227950e+00  
  5.412697761595e-07  ,-2.021509755181e-01  ,1.706015702869e+00  ,3.293460781876e+00  
  5.612701147139e-07  ,-1.969742101955e-01  ,1.687604012863e+00  ,3.311872469507e+00  
  5.812704532683e-07  ,-1.165575286264e-01  ,1.982033266050e+00  ,3.017443244633e+00  
  6.012707918227e-07  ,8.381624605558e-03  ,2.468835685121e+00  ,2.530640845113e+00  
  6.212711303771e-07  ,1.301191773199e-01  ,2.967032162375e+00  ,2.032444352222e+00  
  6.412714689314e-07  ,2.021539999464e-01  ,3.283543682017e+00  ,1.715932803230e+00  
  6.612718074858e-07  ,1.969703379308e-01  ,3.298773071807e+00  ,1.700703412501e+00  
  6.812721460402e-07  ,1.165482387908e-01  ,3.006569306763e+00  ,1.992907204209e+00  
  7.012724845946e-07  ,-8.392783494544e-03  ,2.522980989102e+00  ,2.476495541066e+00  
