  Time                 , (V(C10:2))@1         , (V(C10:2))@2         , (V(C10:2))@3         , (V(C10:2))@4         , (V(C10:2))@5         , (V(C10:2))@6         , (V(C10:2))@7         , (V(C10:2))@8         , (V(C10:2))@9         , (V(C10:2))@10        , (V(C10:2))@11        , (V(R10:2))@1         , (V(R10:2))@2         , (V(R10:2))@3         , (V(R10:2))@4         , (V(R10:2))@5         , (V(R10:2))@6         , (V(R10:2))@7         , (V(R10:2))@8         , (V(R10:2))@9         , (V(R10:2))@10        , (V(R10:2))@11        , (V(U2:VOL))@1        , (V(U2:VOL))@2        , (V(U2:VOL))@3        , (V(U2:VOL))@4        , (V(U2:VOL))@5        , (V(U2:VOL))@6        , (V(U2:VOL))@7        , (V(U2:VOL))@8        , (V(U2:VOL))@9        , (V(U2:VOL))@10       , (V(U2:VOL))@11       
  0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738264990e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738265192e+00  ,2.499738264990e+00  ,2.499738265192e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  ,2.499738264749e+00  
  2.000000000000e-10  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,1.319460232767e-03  ,2.499745742811e+00  ,2.499749029819e+00  ,2.499757407284e+00  ,2.499772305597e+00  ,2.499798798859e+00  ,2.499845911066e+00  ,2.499929689210e+00  ,2.500078671312e+00  ,2.500343602014e+00  ,2.500814723388e+00  ,2.501649125268e+00  ,2.499730787494e+00  ,2.499727500590e+00  ,2.499719122728e+00  ,2.499704224577e+00  ,2.499677731388e+00  ,2.499630619396e+00  ,2.499546840708e+00  ,2.499397859258e+00  ,2.499132928035e+00  ,2.498661807185e+00  ,2.497827404714e+00  
  4.000000000000e-10  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.638868375504e-03  ,2.499766120072e+00  ,2.499778365080e+00  ,2.499809573249e+00  ,2.499865071660e+00  ,2.499963762683e+00  ,2.500139262963e+00  ,2.500451350994e+00  ,2.501006331587e+00  ,2.501993241506e+00  ,2.503748243288e+00  ,2.506856524278e+00  ,2.499710410173e+00  ,2.499698165374e+00  ,2.499666956564e+00  ,2.499611458510e+00  ,2.499512767519e+00  ,2.499337267384e+00  ,2.499025178826e+00  ,2.498470198824e+00  ,2.497483288556e+00  ,2.495728287406e+00  ,2.492620005722e+00  
  7.192108124495e-10  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744424124449e-03  ,4.744477834732e-03  ,2.499856564600e+00  ,2.499908568416e+00  ,2.500041111614e+00  ,2.500276811236e+00  ,2.500695950906e+00  ,2.501441298136e+00  ,2.502766733338e+00  ,2.505123728009e+00  ,2.509315123124e+00  ,2.516768594786e+00  ,2.521849410815e+00  ,2.499619965643e+00  ,2.499567961817e+00  ,2.499435418344e+00  ,2.499199718825e+00  ,2.498780579321e+00  ,2.498035232246e+00  ,2.496709796320e+00  ,2.494352801845e+00  ,2.490161407221e+00  ,2.482707935411e+00  ,2.477627119276e+00  
  1.119213858247e-09  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381732118876e-03  ,7.381987407350e-03  ,2.500045837287e+00  ,2.500181044867e+00  ,2.500525650747e+00  ,2.501138457055e+00  ,2.502228197863e+00  ,2.504166061325e+00  ,2.507612123956e+00  ,2.513740186159e+00  ,2.524637592778e+00  ,2.544016227136e+00  ,2.562610936615e+00  ,2.499430692906e+00  ,2.499295485477e+00  ,2.498950879282e+00  ,2.498338072994e+00  ,2.497248332234e+00  ,2.495310468919e+00  ,2.491864405994e+00  ,2.485736343802e+00  ,2.474838937383e+00  ,2.455460302793e+00  ,2.436865593450e+00  
  1.757635483146e-09  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158821863510e-02  ,1.158764813556e-02  ,2.500456250779e+00  ,2.500771875035e+00  ,2.501576311554e+00  ,2.503006825373e+00  ,2.505550678587e+00  ,2.510074360324e+00  ,2.518118730813e+00  ,2.532423868598e+00  ,2.557862399768e+00  ,2.599505311280e+00  ,2.638938199662e+00  ,2.499020279351e+00  ,2.498704655517e+00  ,2.497900218541e+00  ,2.496469704695e+00  ,2.493925851387e+00  ,2.489402169748e+00  ,2.481357799634e+00  ,2.467052661625e+00  ,2.441614129803e+00  ,2.399971217946e+00  ,2.360538329043e+00  
  3.034478732944e-09  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998717614549e-02  ,1.998322704573e-02  ,2.501750784024e+00  ,2.502635480578e+00  ,2.504890323332e+00  ,2.508900063715e+00  ,2.516030502919e+00  ,2.528710415755e+00  ,2.551258843546e+00  ,2.591356248751e+00  ,2.662660638206e+00  ,2.756753629379e+00  ,2.812618005241e+00  ,2.497725746191e+00  ,2.496841049621e+00  ,2.494586206866e+00  ,2.490576466299e+00  ,2.483446027710e+00  ,2.470766114714e+00  ,2.448217686873e+00  ,2.408120280578e+00  ,2.336815889710e+00  ,2.242722895883e+00  ,2.186858517087e+00  
  4.634490916133e-09  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.042845287376e-02  ,3.045334793835e-02  ,2.504198583604e+00  ,2.506159324795e+00  ,2.511156702932e+00  ,2.520043437022e+00  ,2.535846533859e+00  ,2.563948854574e+00  ,2.613922633266e+00  ,2.702789975318e+00  ,2.860080588903e+00  ,2.990489755395e+00  ,3.051187911546e+00  ,2.495277946448e+00  ,2.493317205131e+00  ,2.488319827159e+00  ,2.479433093120e+00  ,2.463629996731e+00  ,2.435527675232e+00  ,2.385553895789e+00  ,2.296686550870e+00  ,2.139395928536e+00  ,2.008986753228e+00  ,1.948288595193e+00  
  6.944683128595e-09  ,4.536459446455e-02  ,4.536459446455e-02  ,4.536459446455e-02  ,4.536459446455e-02  ,4.536459446455e-02  ,4.536459446455e-02  ,4.536459446455e-02  ,4.537452812452e-02  ,4.545385628107e-02  ,4.541953663454e-02  ,4.540146050834e-02  ,2.507975260274e+00  ,2.511596216117e+00  ,2.520825014540e+00  ,2.537236395727e+00  ,2.566420417662e+00  ,2.618317761277e+00  ,2.710605739707e+00  ,2.874838757799e+00  ,3.166504812516e+00  ,3.329407561633e+00  ,3.396344345111e+00  ,2.491501269617e+00  ,2.487880313542e+00  ,2.478651515415e+00  ,2.462240134516e+00  ,2.433056112601e+00  ,2.381158767254e+00  ,2.288870786500e+00  ,2.124637760980e+00  ,1.832971685392e+00  ,1.670068944048e+00  ,1.603132123280e+00  
  8.033958011866e-09  ,5.221500089632e-02  ,5.221500089632e-02  ,5.221500089632e-02  ,5.221500089632e-02  ,5.221500089632e-02  ,5.221500089632e-02  ,5.221500089632e-02  ,5.224480187623e-02  ,5.244184085051e-02  ,5.237982740630e-02  ,5.242420686593e-02  ,2.509916225005e+00  ,2.514390422511e+00  ,2.525793893839e+00  ,2.546072451035e+00  ,2.582133392457e+00  ,2.646259820433e+00  ,2.760294527259e+00  ,2.963437716722e+00  ,3.326705987909e+00  ,3.482060671450e+00  ,3.547213977208e+00  ,2.489560304994e+00  ,2.485086107176e+00  ,2.473682636145e+00  ,2.453404079076e+00  ,2.417343137459e+00  ,2.353216707310e+00  ,2.239181996599e+00  ,2.036038794683e+00  ,1.672770492580e+00  ,1.517415868037e+00  ,1.452262477386e+00  
