  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298531734583e-02  ,3.769886379335e-03  
  2.961823388934e-10  ,2.298543202932e-02  ,5.582824998876e-03  
  4.885470166802e-10  ,2.298572670120e-02  ,9.208532765183e-03  
  8.732763722539e-10  ,2.298657003602e-02  ,1.645880696425e-02  
  1.642735083401e-09  ,2.299090512056e-02  ,3.095108341273e-02  
  3.181652505696e-09  ,2.310527575482e-02  ,5.987292295758e-02  
  5.258874376118e-09  ,2.429837265907e-02  ,9.867711207215e-02  
  8.504719813168e-09  ,3.373144959012e-02  ,1.584096414224e-01  
  1.224938162118e-08  ,6.570320193881e-02  ,2.252385390982e-01  
  1.669812329561e-08  ,1.369985998091e-01  ,3.005133575461e-01  
  2.559560664445e-08  ,3.658648360529e-01  ,4.321279674431e-01  
  3.405648597032e-08  ,6.272687876307e-01  ,5.262961201127e-01  
  4.483747609407e-08  ,9.188382532726e-01  ,5.921260443424e-01  
  6.138074525148e-08  ,1.163483102273e+00  ,5.620570533717e-01  
  7.724154122621e-08  ,1.121192850566e+00  ,3.933605139119e-01  
  7.974158354551e-08  ,1.088538525373e+00  ,3.566002366013e-01  
  8.474166818410e-08  ,1.003107112219e+00  ,2.767239844404e-01  
  9.474183746129e-08  ,7.629962924270e-01  ,9.866387693288e-02  
  1.147421760157e-07  ,1.105493601589e-01  ,-2.680552380845e-01  
  1.342269343928e-07  ,-5.656379224270e-01  ,-5.278313839832e-01  
  1.542272729471e-07  ,-1.039775402702e+00  ,-5.947167253372e-01  
  1.567273152664e-07  ,-1.073489367002e+00  ,-5.866498108237e-01  
  1.617273999050e-07  ,-1.118884132976e+00  ,-5.597369788737e-01  
  1.629774210647e-07  ,-1.125614339980e+00  ,-5.508216641584e-01  
  1.654774633840e-07  ,-1.133524368789e+00  ,-5.304580241536e-01  
  1.661024739638e-07  ,-1.134345889964e+00  ,-5.248507350686e-01  
  1.662587266088e-07  ,-1.134479035439e+00  ,-5.234172099443e-01  
  1.665712318987e-07  ,-1.134658740871e+00  ,-5.205123570037e-01  
  1.671962424785e-07  ,-1.134672147748e+00  ,-5.145524266549e-01  
  1.684462636381e-07  ,-1.133318597426e+00  ,-5.020398107686e-01  
  1.687587689281e-07  ,-1.132693139011e+00  ,-4.987899180264e-01  
  1.693837795079e-07  ,-1.131099142693e+00  ,-4.921462223037e-01  
  1.706338006675e-07  ,-1.126544552940e+00  ,-4.782922508850e-01  
  1.731338429868e-07  ,-1.112024211863e+00  ,-4.483942569808e-01  
  1.781339276254e-07  ,-1.061925660998e+00  ,-3.805058719580e-01  
  1.881340969026e-07  ,-8.842588632108e-01  ,-2.185226131771e-01  
  2.081344354570e-07  ,-3.007073079128e-01  ,1.516670310884e-01  
