  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.299124861388e-02  ,1.256628793112e-01  
  2.250000000000e-10  ,2.299210622451e-02  ,1.413704921449e-01  
  2.567348167300e-10  ,2.299328430199e-02  ,1.613094938664e-01  
  3.202044501901e-10  ,2.299597324846e-02  ,2.011869964822e-01  
  4.471437171102e-10  ,2.300243994631e-02  ,2.809394434926e-01  
  7.010222509503e-10  ,2.301882619432e-02  ,4.404296655332e-01  
  1.208779318631e-09  ,2.306967348786e-02  ,7.593159138230e-01  
  1.924407584965e-09  ,2.327676470241e-02  ,1.208404501531e+00  
  2.007726030797e-09  ,2.331725685068e-02  ,1.260655182799e+00  
  2.174362922460e-09  ,2.341929300579e-02  ,1.365130275495e+00  
  2.216022145376e-09  ,2.344940109305e-02  ,1.391243314809e+00  
  2.299340591207e-09  ,2.351667036728e-02  ,1.443462199696e+00  
  2.320170202665e-09  ,2.353503798797e-02  ,1.456515389612e+00  
  2.325377605530e-09  ,2.353973417414e-02  ,1.459778589856e+00  
  2.326679456246e-09  ,2.354091486516e-02  ,1.460594383816e+00  
  2.327004918925e-09  ,2.354121045390e-02  ,1.460798331924e+00  
  2.327655844283e-09  ,2.354180213220e-02  ,1.461206227682e+00  
  2.327818575622e-09  ,2.354195015615e-02  ,1.461308201527e+00  
  2.328144038301e-09  ,2.354224632947e-02  ,1.461512149100e+00  
  2.328794963659e-09  ,2.354283917821e-02  ,1.461920043789e+00  
  2.328815305077e-09  ,2.354285771552e-02  ,1.461932790488e+00  
  2.328855987912e-09  ,2.354289479211e-02  ,1.461958283885e+00  
  2.328937353581e-09  ,2.354296895314e-02  ,1.462009270671e+00  
  2.328957694999e-09  ,2.354298749503e-02  ,1.462022017366e+00  
  2.328998377834e-09  ,2.354302458078e-02  ,1.462047510754e+00  
  2.329008548542e-09  ,2.354303385263e-02  ,1.462053884101e+00  
  2.329028889960e-09  ,2.354305239681e-02  ,1.462066630794e+00  
  2.329069572795e-09  ,2.354308948714e-02  ,1.462092124178e+00  
  2.329150938465e-09  ,2.354316367566e-02  ,1.462143110939e+00  
  2.329313669804e-09  ,2.354331208413e-02  ,1.462245084432e+00  
  2.329639132483e-09  ,2.354360902680e-02  ,1.462449031303e+00  
  2.330290057841e-09  ,2.354420341549e-02  ,1.462856924588e+00  
  2.331591908557e-09  ,2.354539420898e-02  ,1.463672709321e+00  
  2.334195609989e-09  ,2.354778388243e-02  ,1.465304271442e+00  
  2.339403012854e-09  ,2.355259575253e-02  ,1.468567366261e+00  
  2.349817818583e-09  ,2.356235101390e-02  ,1.475093437899e+00  
  2.370647430041e-09  ,2.358239922050e-02  ,1.488145106733e+00  
  2.412306652957e-09  ,2.362474194275e-02  ,1.514246527074e+00  
  2.495625098788e-09  ,2.371922260672e-02  ,1.566441541973e+00  
  2.662261990451e-09  ,2.395459492627e-02  ,1.670799017096e+00  
  2.995535773777e-09  ,2.468133492193e-02  ,1.879373740302e+00  
  3.662083340430e-09  ,2.792451814180e-02  ,2.295882282266e+00  
  4.740927410864e-09  ,4.332397812828e-02  ,2.967811433606e+00  
  6.358075929426e-09  ,1.140645845434e-01  ,3.968385134510e+00  
  8.537370754027e-09  ,3.676347541930e-01  ,5.300105876294e+00  
  1.188789684846e-08  ,1.280042231656e+00  ,7.296955339934e+00  
  1.260566715672e-08  ,1.569250271686e+00  ,7.714965157563e+00  
  1.404120777323e-08  ,2.254919643889e+00  ,8.539006115886e+00  
  1.691228900626e-08  ,4.028701086627e+00  ,1.013335384987e+01  
  2.265445147231e-08  ,8.470449598405e+00  ,1.306260115567e+01  
  2.689383183196e-08  ,1.149855360639e+01  ,1.495802361364e+01  
  2.983904634192e-08  ,1.320928222080e+01  ,1.612069046944e+01  
  3.257974241450e-08  ,1.444822173692e+01  ,1.707892882685e+01  
  3.317932788804e-08  ,1.466909645373e+01  ,1.727192330452e+01  
  3.437849883511e-08  ,1.507104431671e+01  ,1.763946149095e+01  
  3.559406105950e-08  ,1.543493963143e+01  ,1.798647360049e+01  
  3.690201048329e-08  ,1.578504547962e+01  ,1.833055372794e+01  
  3.767417002990e-08  ,1.597566033882e+01  ,1.851919251292e+01  
  3.843794767334e-08  ,1.615303812704e+01  ,1.869506357709e+01  
  3.930342574193e-08  ,1.634120583905e+01  ,1.888133917312e+01  
  4.030888159349e-08  ,1.654336972864e+01  ,1.908020663228e+01  
  4.116784040406e-08  ,1.670317480112e+01  ,1.923502821761e+01  
  4.199001197293e-08  ,1.684551329365e+01  ,1.937010157513e+01  
  4.323556278422e-08  ,1.704355344467e+01  ,1.955008751913e+01  
  4.537015412524e-08  ,1.733933511091e+01  ,1.978881307915e+01  
  4.743061218932e-08  ,1.757919385996e+01  ,1.993487867302e+01  
  5.155152831747e-08  ,1.794993399472e+01  ,1.997624619583e+01  
  5.979336057379e-08  ,1.840548566629e+01  ,1.906085058023e+01  
  6.113297496512e-08  ,1.845241262320e+01  ,1.878914949305e+01  
  6.381220374777e-08  ,1.852994733513e+01  ,1.814646600648e+01  
  6.917066131308e-08  ,1.864254250413e+01  ,1.648110201377e+01  
  7.050804053023e-08  ,1.866232741704e+01  ,1.599065932805e+01  
  7.318279896452e-08  ,1.869491026407e+01  ,1.492601880585e+01  
  7.853231583311e-08  ,1.873646800619e+01  ,1.248900032913e+01  
  7.986969505026e-08  ,1.874247928661e+01  ,1.182184302024e+01  
  8.254445348456e-08  ,1.874941986468e+01  ,1.042614606336e+01  
  8.321314309313e-08  ,1.875006730092e+01  ,1.006532885242e+01  
  8.455052231028e-08  ,1.874985948670e+01  ,9.330530160946e+00  
  8.488486711457e-08  ,1.874946183561e+01  ,9.144205983645e+00  
  8.555355672314e-08  ,1.874813397177e+01  ,8.768551717035e+00  
  8.689093594029e-08  ,1.874206994527e+01  ,8.005802008538e+00  
  8.691285112462e-08  ,1.874192603171e+01  ,7.993181702689e+00  
  8.695668149329e-08  ,1.874163221162e+01  ,7.967929730365e+00  
  8.696763908546e-08  ,1.874155749932e+01  ,7.961614374851e+00  
  8.698955426979e-08  ,1.874140653667e+01  ,7.948980834142e+00  
  8.699503306587e-08  ,1.874136847473e+01  ,7.945821859993e+00  
  8.700599065804e-08  ,1.874129195992e+01  ,7.939503205586e+00  
  8.700873005608e-08  ,1.874127274957e+01  ,7.937923394946e+00  
  8.701420885217e-08  ,1.874123423038e+01  ,7.934763597303e+00  
  8.702516644433e-08  ,1.874115679638e+01  ,7.928443296888e+00  
  8.702550886909e-08  ,1.874115436805e+01  ,7.928245772357e+00  
  8.702559447528e-08  ,1.874115376089e+01  ,7.928196391081e+00  
  8.702561587683e-08  ,1.874115360909e+01  ,7.928184045753e+00  
  8.702565867992e-08  ,1.874115330549e+01  ,7.928159355086e+00  
  8.702566938069e-08  ,1.874115322959e+01  ,7.928153182417e+00  
  8.702569078224e-08  ,1.874115307779e+01  ,7.928140837077e+00  
  8.702573358533e-08  ,1.874115277418e+01  ,7.928116146385e+00  
  8.702573492293e-08  ,1.874115276469e+01  ,7.928115374801e+00  
  8.702573759813e-08  ,1.874115274572e+01  ,7.928113831632e+00  
  8.702574294851e-08  ,1.874115270776e+01  ,7.928110745294e+00  
  8.702575364929e-08  ,1.874115263186e+01  ,7.928104572618e+00  
  8.702577505083e-08  ,1.874115248005e+01  ,7.928092227264e+00  
  8.702581785393e-08  ,1.874115217642e+01  ,7.928067536544e+00  
  8.702590346012e-08  ,1.874115156914e+01  ,7.928018155061e+00  
  8.702607467249e-08  ,1.874115035448e+01  ,7.927919391922e+00  
  8.702641709725e-08  ,1.874114792478e+01  ,7.927721864958e+00  
  8.702710194676e-08  ,1.874114306383e+01  ,7.927326808277e+00  
  8.702847164578e-08  ,1.874113333569e+01  ,7.926536683905e+00  
  8.703121104382e-08  ,1.874111385450e+01  ,7.924956391134e+00  
  8.703668983991e-08  ,1.874107479226e+01  ,7.921795629515e+00  
  8.704764743207e-08  ,1.874099626659e+01  ,7.915473402303e+00  
