  Time                 , (V(R3:2))@1          , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.299430596855e-02  ,1.884943189668e-01  
  2.250000000000e-10  ,2.299559238449e-02  ,2.120557382174e-01  
  2.544123310596e-10  ,2.299722314739e-02  ,2.397754201783e-01  
  3.132369931787e-10  ,2.300091907420e-02  ,2.952141462688e-01  
  4.308863174170e-10  ,2.300974575792e-02  ,4.060883844555e-01  
  6.661849658936e-10  ,2.303189467163e-02  ,6.278187037139e-01  
  1.136782262847e-09  ,2.309791480274e-02  ,1.071164309847e+00  
  1.658695433661e-09  ,2.327102879877e-02  ,1.562576223929e+00  
  2.182098720595e-09  ,2.367278984539e-02  ,2.054969167066e+00  
  2.286092527583e-09  ,2.379863432033e-02  ,2.152739668565e+00  
  2.289342334052e-09  ,2.380292744727e-02  ,2.155794631921e+00  
  2.295841946988e-09  ,2.381158549795e-02  ,2.161904491187e+00  
  2.297466850223e-09  ,2.381376501017e-02  ,2.163431941930e+00  
  2.300716656691e-09  ,2.381814217325e-02  ,2.166486826498e+00  
  2.301529108308e-09  ,2.381924024691e-02  ,2.167250544112e+00  
  2.303154011542e-09  ,2.382144095904e-02  ,2.168777975106e+00  
  2.303560237351e-09  ,2.382199208903e-02  ,2.169159831971e+00  
  2.304372688968e-09  ,2.382309549370e-02  ,2.169923544642e+00  
  2.304575801872e-09  ,2.382337158346e-02  ,2.170114472589e+00  
  2.304626580098e-09  ,2.382344062082e-02  ,2.170162204562e+00  
  2.304728136550e-09  ,2.382357871346e-02  ,2.170257668491e+00  
  2.304753525663e-09  ,2.382361324035e-02  ,2.170281534470e+00  
  2.304804303889e-09  ,2.382368229861e-02  ,2.170329266423e+00  
  2.304816998446e-09  ,2.382369956411e-02  ,2.170341199411e+00  
  2.304842387559e-09  ,2.382373409622e-02  ,2.170365065385e+00  
  2.304848734837e-09  ,2.382374272949e-02  ,2.170371031878e+00  
  2.304861429394e-09  ,2.382375999629e-02  ,2.170382964864e+00  
  2.304886818507e-09  ,2.382379453102e-02  ,2.170406830836e+00  
  2.304937596733e-09  ,2.382386360496e-02  ,2.170454562775e+00  
  2.305039153185e-09  ,2.382400177076e-02  ,2.170550026637e+00  
  2.305242266089e-09  ,2.382427817405e-02  ,2.170740954294e+00  
  2.305648491898e-09  ,2.382483126757e-02  ,2.171122809342e+00  
  2.306460943515e-09  ,2.382593860322e-02  ,2.171886518379e+00  
  2.308085846749e-09  ,2.382815787683e-02  ,2.173413932206e+00  
  2.311335653217e-09  ,2.383261489523e-02  ,2.176468742866e+00  
  2.317835266154e-09  ,2.384160331559e-02  ,2.182578296095e+00  
  2.330834492028e-09  ,2.385988171878e-02  ,2.194797129296e+00  
  2.356832943775e-09  ,2.389767761277e-02  ,2.219233695539e+00  
  2.408829847269e-09  ,2.397849837612e-02  ,2.268102370332e+00  
  2.512823654257e-09  ,2.416339997391e-02  ,2.365821432767e+00  
  2.720811268233e-09  ,2.464772286036e-02  ,2.561182758796e+00  
  3.136786496185e-09  ,2.629205070599e-02  ,2.951569028478e+00  
  3.968736952089e-09  ,3.474904175536e-02  ,3.730762807810e+00  
  5.089118009351e-09  ,6.739248382204e-02  ,4.775973117051e+00  
  6.936303203843e-09  ,2.297104395625e-01  ,6.485697146628e+00  
  9.194946711801e-09  ,7.260380419729e-01  ,8.546012699067e+00  
  9.687057560228e-09  ,8.882818641208e-01  ,8.989560482367e+00  
  1.067127925708e-08  ,1.282497088542e+00  ,9.870104752000e+00  
  1.263972265079e-08  ,2.364366522455e+00  ,1.160205351256e+01  
  1.592133087470e-08  ,4.863003805999e+00  ,1.438759335179e+01  
  1.854542536094e-08  ,7.171702076653e+00  ,1.650645067018e+01  
  1.882435647204e-08  ,7.429391418189e+00  ,1.672533029142e+01  
  1.938221869423e-08  ,7.942816402760e+00  ,1.715921993328e+01  
  2.049794313862e-08  ,8.927070230250e+00  ,1.801105649653e+01  
  2.173306313708e-08  ,9.931724295329e+00  ,1.892820224115e+01  
  2.300543603852e-08  ,1.085500277089e+01  ,1.984319874863e+01  
  2.375002843692e-08  ,1.134508157915e+01  ,2.036404204668e+01  
  2.442756560995e-08  ,1.176166809215e+01  ,2.082830497961e+01  
  2.514403206661e-08  ,1.217506512037e+01  ,2.130897358283e+01  
  2.583628413632e-08  ,1.255072315760e+01  ,2.176314539657e+01  
  2.644890812590e-08  ,1.286534855969e+01  ,2.215649673759e+01  
  2.703098473503e-08  ,1.314984585015e+01  ,2.252263333452e+01  
