  Time                 , V(D2:2)              , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,3.141560355485e-03  ,3.135103540576e-03  
  4.737968146801e-10  ,5.953686517407e-03  ,5.939891670055e-03  
  9.213904440403e-10  ,1.157691694459e-02  ,1.154345044696e-02  
  1.816577702761e-09  ,2.281539928268e-02  ,2.271485823907e-02  
  3.606952220201e-09  ,4.522935890504e-02  ,4.490134058391e-02  
  7.187701255083e-09  ,8.955768398741e-02  ,8.846893456411e-02  
  1.246792772412e-08  ,1.527009421948e-01  ,1.499579068521e-01  
  1.747248271108e-08  ,2.087045112954e-01  ,2.040346416442e-01  
  2.303955653310e-08  ,2.648974085307e-01  ,2.579438862685e-01  
  2.822739580274e-08  ,3.100188815905e-01  ,3.009117061030e-01  
  3.085409799218e-08  ,3.297982013009e-01  ,3.196421956566e-01  
  3.212591210008e-08  ,3.385763420258e-01  ,3.279269866810e-01  
  3.389691510797e-08  ,3.498967698469e-01  ,3.385809596342e-01  
  3.682313063741e-08  ,3.662134844527e-01  ,3.538628932219e-01  
  4.267556169629e-08  ,3.894570706017e-01  ,3.753162580994e-01  
  4.919034937024e-08  ,3.998706097233e-01  ,3.842571273102e-01  
  5.687189796567e-08  ,3.907147047252e-01  ,3.741815215601e-01  
  7.059735754132e-08  ,3.191377956635e-01  ,3.033402347252e-01  
  8.177769878507e-08  ,2.166841185023e-01  ,2.036158358241e-01  
  8.706835606694e-08  ,1.580704506522e-01  ,1.468964477947e-01  
  8.847726085782e-08  ,1.416572031290e-01  ,1.310439414665e-01  
  8.998972871900e-08  ,1.237295467677e-01  ,1.137411776772e-01  
  9.234150448442e-08  ,9.531366215754e-02  ,8.633881122727e-02  
  9.704505601525e-08  ,3.707960999284e-02  ,3.026376379130e-02  
  1.008001486361e-07  ,-1.005390540370e-02  ,-1.504733261635e-02  
  1.052541057169e-07  ,-6.572563187347e-02  ,-6.847745336362e-02  
  1.083166668713e-07  ,-1.033253033113e-01  ,-1.045050588751e-01  
  1.115703354180e-07  ,-1.422163940972e-01  ,-1.417110942145e-01  
  1.180776725113e-07  ,-2.151541951094e-01  ,-2.113146098263e-01  
  1.228967080414e-07  ,-2.635497071590e-01  ,-2.573374607197e-01  
  1.282045016587e-07  ,-3.098370051662e-01  ,-3.011712951576e-01  
  1.309463153183e-07  ,-3.304525657784e-01  ,-3.205988358178e-01  
  1.322216684520e-07  ,-3.392155507659e-01  ,-3.288331789873e-01  
  1.340241501629e-07  ,-3.506687736745e-01  ,-3.395647656378e-01  
  1.369559536278e-07  ,-3.668816763196e-01  ,-3.546850013593e-01  
  1.428195605576e-07  ,-3.898658024327e-01  ,-3.758033669133e-01  
  1.494706938565e-07  ,-3.999446989212e-01  ,-3.843457546437e-01  
  1.571611831486e-07  ,-3.899198555920e-01  ,-3.734020387558e-01  
  1.718283961117e-07  ,-3.095753769889e-01  ,-2.939970014793e-01  
  1.842783162892e-07  ,-1.896293252835e-01  ,-1.773928252318e-01  
  1.900927493870e-07  ,-1.224977961837e-01  ,-1.125048713496e-01  
  1.913977185786e-07  ,-1.067884246284e-01  ,-9.735682183216e-02  
  1.926915118992e-07  ,-9.103635489777e-02  ,-8.217681025715e-02  
  1.952790985405e-07  ,-5.910734951238e-02  ,-5.142872328706e-02  
  1.990937958062e-07  ,-1.138615953016e-02  ,-5.530892524791e-03  
  2.028615544140e-07  ,3.591093730161e-02  ,3.989195102938e-02  
  2.049223850071e-07  ,6.161027022664e-02  ,6.454279997836e-02  
  2.068267534077e-07  ,8.513136491073e-02  ,8.708332529283e-02  
  2.106354902089e-07  ,1.311766126785e-01  ,1.311524614644e-01  
  2.171256909668e-07  ,2.049744995427e-01  ,2.016124521616e-01  
  2.219626078904e-07  ,2.546073689046e-01  ,2.488441607845e-01  
  2.272100518048e-07  ,3.017834736856e-01  ,2.935606899802e-01  
  2.299116323292e-07  ,3.229528390259e-01  ,3.135384151812e-01  
  2.325372169316e-07  ,3.413001956135e-01  ,3.307873982423e-01  
  2.347712735236e-07  ,3.550885322718e-01  ,3.436975474430e-01  
  2.371930847466e-07  ,3.680587200305e-01  ,3.557790407811e-01  
  2.420367071927e-07  ,3.875477215353e-01  ,3.737077017774e-01  
  2.491616974175e-07  ,3.998612904869e-01  ,3.843195935677e-01  
  2.572962413132e-07  ,3.895377338221e-01  ,3.730131479201e-01  
  2.714925775826e-07  ,3.122304726110e-01  ,2.965964096284e-01  
  2.839946518242e-07  ,1.927603610026e-01  ,1.804288265338e-01  
  2.897792825997e-07  ,1.262416712502e-01  ,1.161226562860e-01  
  2.910753110945e-07  ,1.106873213358e-01  ,1.011215460543e-01  
