  Time                 , V(Vsin:+)            , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,5.497730622098e-03  ,5.486431196004e-03  
  4.737968146801e-10  ,1.041895140546e-02  ,1.039481042255e-02  
  9.213904440403e-10  ,2.025960465303e-02  ,2.019938503367e-02  
  1.816577702761e-09  ,3.992694874470e-02  ,3.974947292977e-02  
  3.606952220201e-09  ,7.915137808381e-02  ,7.857603578022e-02  
  7.187701255083e-09  ,1.567259469780e-01  ,1.548195579203e-01  
  1.246792772412e-08  ,2.672266488408e-01  ,2.624236803296e-01  
  1.747248271108e-08  ,3.652328947670e-01  ,3.570500619816e-01  
  2.303955653310e-08  ,4.635704649287e-01  ,4.513656005697e-01  
  2.822739580274e-08  ,5.425330427833e-01  ,5.265053363175e-01  
  3.085409799218e-08  ,5.771468522765e-01  ,5.592545435475e-01  
  3.212591210008e-08  ,5.925085985452e-01  ,5.737366945183e-01  
  3.389691510797e-08  ,6.123193472320e-01  ,5.923565040554e-01  
  3.682313063741e-08  ,6.408735977922e-01  ,6.190482602761e-01  
  4.267556169629e-08  ,6.815498735530e-01  ,6.564766643190e-01  
  4.919034937024e-08  ,6.997735670157e-01  ,6.720033560947e-01  
  5.687189796567e-08  ,6.837507332691e-01  ,6.542837646969e-01  
  7.059735754132e-08  ,5.584911424112e-01  ,5.303842102824e-01  
  8.177769878507e-08  ,3.791972073790e-01  ,3.560875321999e-01  
  8.706835606694e-08  ,2.766232886414e-01  ,2.569138555417e-01  
  8.847726085782e-08  ,2.479001054757e-01  ,2.291957879329e-01  
  8.998972871900e-08  ,2.165267068435e-01  ,1.989387079163e-01  
  9.234150448442e-08  ,1.667989087757e-01  ,1.510157892419e-01  
  9.704505601525e-08  ,6.488931748747e-02  ,5.293042465976e-02  
  1.008001486361e-07  ,-1.759433445648e-02  ,-2.634276173795e-02  
  1.052541057169e-07  ,-1.150198557786e-01  ,-1.198228063769e-01  
  1.083166668713e-07  ,-1.808192807947e-01  ,-1.828645930532e-01  
  1.115703354180e-07  ,-2.488786896700e-01  ,-2.479723056141e-01  
  1.180776725113e-07  ,-3.765198414415e-01  ,-3.697764598996e-01  
  1.228967080414e-07  ,-4.612119875282e-01  ,-4.503010826541e-01  
  1.282045016587e-07  ,-5.422147590408e-01  ,-5.269674979965e-01  
  1.309463153183e-07  ,-5.782919901122e-01  ,-5.609374190547e-01  
  1.322216684520e-07  ,-5.936272138402e-01  ,-5.753296846410e-01  
  1.340241501629e-07  ,-6.136703539303e-01  ,-5.940839855831e-01  
  1.369559536278e-07  ,-6.420429335594e-01  ,-6.204921829414e-01  
  1.428195605576e-07  ,-6.822651542572e-01  ,-6.573329360737e-01  
  1.494706938565e-07  ,-6.999032231122e-01  ,-6.721587460513e-01  
  1.571611831486e-07  ,-6.823597472860e-01  ,-6.529209489707e-01  
  1.718283961117e-07  ,-5.417569097306e-01  ,-5.140535492851e-01  
  1.842783162892e-07  ,-3.318513192462e-01  ,-3.102494070620e-01  
  1.900927493870e-07  ,-2.143711433214e-01  ,-1.968094858881e-01  
  1.913977185786e-07  ,-1.868797430997e-01  ,-1.703156239288e-01  
  1.926915118992e-07  ,-1.593136210711e-01  ,-1.437635459075e-01  
  1.952790985405e-07  ,-1.034378616467e-01  ,-8.997802514995e-02  
  1.991958687603e-07  ,-1.768188867530e-02  ,-7.518168211271e-03  
  2.030060956776e-07  ,6.600927414343e-02  ,7.284364552339e-02  
  2.048160279691e-07  ,1.055063725303e-01  ,1.107253645276e-01  
  2.067472184598e-07  ,1.472704322449e-01  ,1.507513272795e-01  
  2.106095994413e-07  ,2.290211157543e-01  ,2.289994268389e-01  
  2.170454109609e-07  ,3.571881988409e-01  ,3.513682077861e-01  
  2.218741322458e-07  ,4.440605474591e-01  ,4.340263397986e-01  
  2.271163607538e-07  ,5.267664719110e-01  ,5.123862129587e-01  
