  Time                 , V(D2:2)              , V(D4:1)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,2.356170266613e-02  ,2.351327655383e-02  
  3.859498128295e-10  ,3.637402162991e-02  ,3.629454526780e-02  
  6.578494384885e-10  ,6.199643532520e-02  ,6.183897432842e-02  
  1.201648689806e-09  ,1.132258228060e-01  ,1.128388179364e-01  
  2.041422255337e-09  ,1.922676500186e-01  ,1.913443855308e-01  
  2.837982453406e-09  ,2.671193223139e-01  ,2.654949067164e-01  
  3.591515548527e-09  ,3.377746105464e-01  ,3.353226870653e-01  
  3.992403350770e-09  ,3.752893682857e-01  ,3.723372340935e-01  
  4.108178388327e-09  ,3.861126875950e-01  ,3.830084738328e-01  
  4.289064515382e-09  ,4.030126893011e-01  ,3.996642604043e-01  
  4.466434899718e-09  ,4.195715847338e-01  ,4.159759737486e-01  
  4.815401468426e-09  ,4.521117961461e-01  ,4.480082323095e-01  
  5.513334605843e-09  ,5.170252985776e-01  ,5.118230744758e-01  
  6.909200880677e-09  ,6.460755526801e-01  ,6.383694132790e-01  
  9.700933430344e-09  ,9.002036388294e-01  ,8.864286465404e-01  
  1.486940119043e-08  ,1.350992981018e+00  ,1.322991020669e+00  
  2.408725950494e-08  ,2.059628642420e+00  ,1.998663245477e+00  
  3.897202942148e-08  ,2.821748248201e+00  ,2.661947861760e+00  
  4.885894987360e-08  ,2.998072679484e+00  ,2.463104287525e+00  
  5.944324466959e-08  ,2.868947326108e+00  ,2.085159716965e+00  
  6.527034375444e-08  ,2.661355946597e+00  ,2.017807349207e+00  
  7.099313471094e-08  ,2.370861556298e+00  ,1.962597066197e+00  
  8.197231027856e-08  ,1.609683214616e+00  ,1.466271848460e+00  
  9.478432867303e-08  ,4.893687594662e-01  ,4.248223897572e-01  
  9.744828376547e-08  ,2.402360893107e-01  ,1.879411454809e-01  
  9.811427253857e-08  ,1.776216867887e-01  ,1.282823562204e-01  
  9.925421136990e-08  ,7.028249179188e-02  ,2.587465338158e-02  
  1.002166401185e-07  ,-2.041769251478e-02  ,-6.075306786789e-02  
  1.008512433209e-07  ,-8.021823053282e-02  ,-1.179069510232e-01  
  1.012374162264e-07  ,-1.165943597425e-01  ,-1.526863072990e-01  
  1.013274169117e-07  ,-1.250698385389e-01  ,-1.607910598958e-01  
  1.014255666696e-07  ,-1.343115837420e-01  ,-1.696291187125e-01  
  1.015563709252e-07  ,-1.466260643689e-01  ,-1.814065753207e-01  
  1.016840552501e-07  ,-1.586444346360e-01  ,-1.929017836796e-01  
  1.019394239001e-07  ,-1.826733237384e-01  ,-2.158873992932e-01  
  1.024501612000e-07  ,-2.306942842328e-01  ,-2.618335432261e-01  
  1.029690010063e-07  ,-2.794161863163e-01  ,-3.084627808893e-01  
  1.034586904161e-07  ,-3.253328326035e-01  ,-3.524170281948e-01  
  1.037474469803e-07  ,-3.523732426473e-01  ,-3.783056977382e-01  
  1.040475656800e-07  ,-3.804468894844e-01  ,-4.051862663743e-01  
  1.041156802848e-07  ,-3.868138335405e-01  ,-4.112829764080e-01  
  1.042459955961e-07  ,-3.989899652500e-01  ,-4.229426505301e-01  
  1.044062762111e-07  ,-4.139567407317e-01  ,-4.372751737428e-01  
  1.045803636834e-07  ,-4.302008775883e-01  ,-4.528315953515e-01  
  1.049141496941e-07  ,-4.613101133159e-01  ,-4.826255062923e-01  
  1.055817217156e-07  ,-5.233729935654e-01  ,-5.420696799643e-01  
  1.069168657586e-07  ,-6.467809806426e-01  ,-6.602813042147e-01  
  1.095871538445e-07  ,-8.899685970358e-01  ,-8.931845014818e-01  
  1.147325248048e-07  ,-1.339462346464e+00  ,-1.322829228056e+00  
  1.236359686181e-07  ,-2.028497272092e+00  ,-1.974821109777e+00  
  1.401613563821e-07  ,-2.857832240754e+00  ,-2.675524008876e+00  
  1.488725752160e-07  ,-2.998118428367e+00  ,-2.424781167813e+00  
  1.583154410645e-07  ,-2.898213469321e+00  ,-2.112423923310e+00  
  1.629370362088e-07  ,-2.755615243134e+00  ,-2.055268560660e+00  
