  Time                 , V(R5:1)              , V(D14:2)             
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,1.781766981299e-03  ,3.769886379335e-03  
  4.000000000000e-10  ,3.518101674575e-03  ,7.539623930012e-03  
  6.018408849835e-10  ,5.206837175082e-03  ,1.134375751041e-02  
  1.005522654951e-09  ,8.459617176535e-03  ,1.895050338916e-02  
  1.812886194885e-09  ,1.427275525480e-02  ,3.415362869290e-02  
  3.427613274753e-09  ,2.357413033958e-02  ,6.448419997079e-02  
  4.982921974361e-09  ,3.025442209370e-02  ,9.354271561657e-02  
  6.438392893970e-09  ,3.479853615305e-02  ,1.205350113005e-01  
  7.949370639026e-09  ,3.829625178420e-02  ,1.482893853456e-01  
  1.010631372184e-08  ,4.179471095473e-02  ,1.873150442821e-01  
  1.442019988745e-08  ,4.525152577500e-02  ,2.626118637193e-01  
  1.960729409903e-08  ,4.683361789546e-02  ,3.466558518681e-01  
  2.907251168936e-08  ,5.254025249570e-02  ,4.749295059929e-01  
  4.144494582862e-08  ,7.619732741941e-02  ,5.784597522048e-01  
  5.144213487357e-08  ,7.680279680301e-02  ,5.993843151465e-01  
  6.543581535071e-08  ,2.183300678065e-02  ,5.308244255511e-01  
  7.558648635596e-08  ,-3.548309220032e-02  ,4.163754275483e-01  
  8.441244413108e-08  ,-5.516582190325e-02  ,2.822153818943e-01  
  9.391342450827e-08  ,-5.382179244433e-02  ,1.140313748924e-01  
  9.980534364432e-08  ,-5.185171744594e-02  ,3.669162992465e-03  
  1.068059091732e-07  ,-5.019478905442e-02  ,-1.273131170545e-01  
  1.107599322960e-07  ,-4.934938306986e-02  ,-1.989793671480e-01  
  1.139122729465e-07  ,-4.866453269270e-02  ,-2.539703701172e-01  
  1.171841954157e-07  ,-4.802612979691e-02  ,-3.084082169841e-01  
  1.202247773573e-07  ,-4.770254250524e-02  ,-3.560900970447e-01  
  1.234549765751e-07  ,-4.801591352119e-02  ,-4.031794004917e-01  
  1.299153750107e-07  ,-5.348534438469e-02  ,-4.844708804828e-01  
  1.428361718819e-07  ,-7.777407212238e-02  ,-5.848686592713e-01  
  1.534368579552e-07  ,-7.283155393350e-02  ,-5.965060055605e-01  
  1.664217298195e-07  ,-1.442154695137e-02  ,-5.219083112970e-01  
  1.758973782226e-07  ,3.851507149914e-02  ,-4.121362252191e-01  
  1.842137162849e-07  ,5.583200055777e-02  ,-2.855155520699e-01  
  1.938041036293e-07  ,5.136238174790e-02  ,-1.160537909544e-01  
  1.989956681892e-07  ,5.028950983507e-02  ,-1.892806769082e-02  
  2.051923160717e-07  ,4.968107490155e-02  ,9.743938602841e-02  
  2.087753002807e-07  ,4.929325031788e-02  ,1.633232124199e-01  
  2.117562775776e-07  ,4.885170616536e-02  ,2.165968504374e-01  
  2.139061426088e-07  ,4.847761767127e-02  ,2.538656736919e-01  
  2.166248594686e-07  ,4.800698253075e-02  ,2.993172726158e-01  
  2.209923898146e-07  ,4.765154140720e-02  ,3.676308750397e-01  
  2.254269753858e-07  ,4.882014859171e-02  ,4.299167345126e-01  
  2.342961465284e-07  ,6.165198121362e-02  ,5.284504737591e-01  
  2.465881143972e-07  ,8.044309196224e-02  ,5.965565476641e-01  
  2.484529947206e-07  ,7.963055712761e-02  ,5.992915338485e-01  
  2.521827553675e-07  ,7.452704264866e-02  ,5.985898641904e-01  
  2.596422766611e-07  ,5.024969418727e-02  ,5.726815102668e-01  
  2.710357045099e-07  ,-1.328297798462e-02  ,4.736802141390e-01  
  2.790018652841e-07  ,-4.866776745226e-02  ,3.677164498857e-01  
  2.891912793085e-07  ,-5.244697506046e-02  ,1.998467290977e-01  
  2.949759100839e-07  ,-5.109610678777e-02  ,9.430914579113e-02  
  3.013998006746e-07  ,-5.025792252781e-02  ,-2.637711742871e-02  
  3.068931137487e-07  ,-4.966965635536e-02  ,-1.289189741534e-01  
  3.104123954937e-07  ,-4.916259740863e-02  ,-1.927874403720e-01  
  3.131687377855e-07  ,-4.867460948316e-02  ,-2.412044126491e-01  
  3.160413091347e-07  ,-4.814761011487e-02  ,-2.897343048060e-01  
  3.194153045580e-07  ,-4.771260927359e-02  ,-3.436957788119e-01  
  3.241888915464e-07  ,-4.823771113804e-02  ,-4.133165251613e-01  
  3.323755895063e-07  ,-5.777314418310e-02  ,-5.103548919501e-01  
  3.460712467596e-07  ,-8.051789703762e-02  ,-5.954356482720e-01  
  3.579936658308e-07  ,-5.896675023527e-02  ,-5.811795778172e-01  
  3.708831702635e-07  ,1.216108737471e-02  ,-4.754395480541e-01  
  3.794379269049e-07  ,5.019814823068e-02  ,-3.611871208715e-01  
  3.898285066053e-07  ,5.231038110756e-02  ,-1.884818517387e-01  
  3.955431019232e-07  ,5.093021191890e-02  ,-8.373631509275e-02  
  4.018090402052e-07  ,5.016134221032e-02  ,3.408125079037e-02  
  4.082247351572e-07  ,4.952328154390e-02  ,1.533132504920e-01  
  4.124171768591e-07  ,4.885200511882e-02  ,2.281669420725e-01  
  4.155568515226e-07  ,4.826082128425e-02  ,2.817045064383e-01  
