  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.078728215915e-03  ,4.398200775891e-03  
  4.000000000000e-10  ,4.104452802689e-03  ,8.796227918347e-03  
  6.010492607951e-10  ,6.067203373629e-03  ,1.321697814453e-02  
  1.003147782385e-09  ,9.847919834445e-03  ,2.205672043964e-02  
  1.807344825566e-09  ,1.660894705192e-02  ,3.972423604957e-02  
  3.415738911927e-09  ,2.743777382265e-02  ,7.497194301472e-02  
  4.963597030938e-09  ,3.522467366255e-02  ,1.087133670033e-01  
  6.418695421517e-09  ,4.056464885785e-02  ,1.401998137482e-01  
  7.846599192917e-09  ,4.454844407847e-02  ,1.708134356397e-01  
  1.018831667453e-08  ,4.900426239865e-02  ,2.202466978802e-01  
  1.487175163776e-08  ,5.396347894128e-02  ,3.152778458719e-01  
  1.953581509143e-08  ,5.711719902761e-02  ,4.031478084978e-01  
  2.886394199878e-08  ,7.896834338151e-02  ,5.512695996376e-01  
  3.894904789478e-08  ,1.257836505867e-01  ,6.582361404022e-01  
  4.144909021407e-08  ,1.340602134966e-01  ,6.748939065317e-01  
  4.644917485267e-08  ,1.430684304170e-01  ,6.956491315217e-01  
  5.644934412986e-08  ,1.254801062237e-01  ,6.856810005085e-01  
  7.644968268424e-08  ,-3.214072947829e-02  ,4.719265986214e-01  
  8.663015601188e-08  ,-8.121844070796e-02  ,2.854489586105e-01  
  9.765701529533e-08  ,-6.816578399959e-02  ,5.147841038252e-02  
  1.029812001899e-07  ,-6.246629328011e-02  ,-6.546421325439e-02  
  1.078836822227e-07  ,-5.936547484942e-02  ,-1.716041657728e-01  
  1.115132325605e-07  ,-5.801417732629e-02  ,-2.477045827248e-01  
  1.141701096013e-07  ,-5.744493871901e-02  ,-3.014261044240e-01  
  1.169849389508e-07  ,-5.740384405179e-02  ,-3.560438649802e-01  
  1.214962655023e-07  ,-5.959531135566e-02  ,-4.376057628778e-01  
  1.259457522348e-07  ,-6.854750070573e-02  ,-5.094606539363e-01  
  1.348447256997e-07  ,-1.075708560613e-01  ,-6.221469290501e-01  
  1.458000594094e-07  ,-1.434678390493e-01  ,-6.939155136339e-01  
  1.583051138833e-07  ,-1.170431058827e-01  ,-6.763084301068e-01  
  1.731362396196e-07  ,1.549367968946e-03  ,-5.230916114881e-01  
  1.814436369851e-07  ,6.785763111199e-02  ,-3.853513422939e-01  
  1.884650641397e-07  ,7.626112497724e-02  ,-2.481509241277e-01  
  1.972135358766e-07  ,6.228799544543e-02  ,-6.119931346802e-02  
  2.052542024568e-07  ,5.741658667512e-02  ,1.150219542822e-01  
  2.099123054460e-07  ,5.673559802014e-02  ,2.144769612090e-01  
  2.136562221959e-07  ,5.656956121910e-02  ,2.911877001783e-01  
  2.157740497306e-07  ,5.668544059393e-02  ,3.328648269226e-01  
  2.184089475587e-07  ,5.727943249144e-02  ,3.826408255587e-01  
  2.236787432149e-07  ,6.268445459009e-02  ,4.740086352513e-01  
  2.311054819539e-07  ,8.930342415318e-02  ,5.802570683120e-01  
  2.433452957585e-07  ,1.396023701482e-01  ,6.847579669633e-01  
  2.565611356214e-07  ,1.254105899374e-01  ,6.851820674737e-01  
  2.693269604161e-07  ,3.468779495880e-02  ,5.748844191059e-01  
  2.775434606984e-07  ,-4.155740461093e-02  ,4.538864517951e-01  
  2.847660535291e-07  ,-7.645511364292e-02  ,3.223687326618e-01  
  2.938855641797e-07  ,-6.489732126051e-02  ,1.336380668949e-01  
  2.977896684125e-07  ,-6.134170087890e-02  ,4.856867647842e-02  
  3.026176446393e-07  ,-5.908160138493e-02  ,-5.750015148165e-02  
  3.071058743909e-07  ,-5.822195643453e-02  ,-1.549716465806e-01  
  3.101665729001e-07  ,-5.768247168832e-02  ,-2.197927614285e-01  
  3.124941342786e-07  ,-5.733054374300e-02  ,-2.677592232369e-01  
  3.149882161334e-07  ,-5.712238156692e-02  ,-3.175624319378e-01  
  3.183547609761e-07  ,-5.752289712312e-02  ,-3.816424351656e-01  
  3.223706239179e-07  ,-6.060459134201e-02  ,-4.524464319105e-01  
  3.294814580396e-07  ,-8.183399804963e-02  ,-5.595343392278e-01  
  3.419239276364e-07  ,-1.357406452948e-01  ,-6.775902389998e-01  
