  Time                 , V(R5:1)              , V(D13:1)             
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.982516321493e-01  ,6.283143965559e-01  
  2.077998265624e-10  ,3.098705718502e-01  ,6.528177715896e-01  
  2.233994796872e-10  ,3.334211352192e-01  ,7.018244025923e-01  
  2.545987859368e-10  ,3.813859640591e-01  ,7.998371471434e-01  
  3.169973984361e-10  ,4.781239718970e-01  ,9.958602368650e-01  
  4.241460606456e-10  ,6.260091653899e-01  ,1.332454716898e+00  
  5.273948095739e-10  ,7.422991241386e-01  ,1.656783853931e+00  
  6.608533345163e-10  ,8.071435369434e-01  ,2.075982837339e+00  
  7.336478352547e-10  ,6.953359593641e-01  ,2.304618593377e+00  
  8.036600098014e-10  ,6.894308522359e-01  ,2.524504156327e+00  
  8.685731932521e-10  ,6.910422152082e-01  ,2.728364551713e+00  
  9.397960871458e-10  ,6.926639381548e-01  ,2.952027559261e+00  
  1.082241874933e-09  ,6.928190162368e-01  ,3.399308116205e+00  
  1.367133450508e-09  ,6.948145513725e-01  ,4.293656048604e+00  
  1.936916601658e-09  ,6.980229549048e-01  ,6.081248478317e+00  
  3.076482903957e-09  ,7.030480815577e-01  ,9.650015701995e+00  
  4.455212843418e-09  ,7.065030717836e-01  ,1.395080999160e+01  
  5.488235843182e-09  ,7.085057668148e-01  ,1.715650099827e+01  
  6.495554339886e-09  ,7.098778415617e-01  ,2.026505306840e+01  
  8.397687566280e-09  ,7.114787982180e-01  ,2.607713732825e+01  
  1.220195401907e-08  ,7.124332340038e-01  ,3.740161384051e+01  
  1.678778637648e-08  ,7.112611378150e-01  ,5.032916751687e+01  
  2.339496124983e-08  ,7.074861495711e-01  ,6.705681526329e+01  
  3.660931099653e-08  ,6.958298577330e-01  ,9.128110837600e+01  
  3.910935331583e-08  ,6.930246653095e-01  ,9.420389267869e+01  
  4.410943795443e-08  ,6.868263012740e-01  ,9.829256786156e+01  
  5.410960723162e-08  ,6.719291878204e-01  ,9.916772463231e+01  
  7.410994578600e-08  ,6.185579255566e-01  ,7.265998245985e+01  
  8.769533444643e-08  ,2.304695845398e-01  ,3.770067716245e+01  
  8.905506540537e-08  ,2.920517612618e-02  ,3.371097556383e+01  
  9.177452732325e-08  ,-3.537806567601e-01  ,2.555444847803e+01  
  9.618825126886e-08  ,-5.750545531033e-01  ,1.194636222371e+01  
  9.671929140091e-08  ,-5.855349054094e-01  ,1.028841230832e+01  
  9.778137166500e-08  ,-6.040156641523e-01  ,6.964384303440e+00  
  9.917705167532e-08  ,-6.300686167258e-01  ,2.585080405090e+00  
  9.952597167790e-08  ,-6.407567349674e-01  ,1.489148850756e+00  
  9.997500885725e-08  ,-7.179776194490e-01  ,7.851198240155e-02  
  1.004124045044e-07  ,-1.077253446839e+00  ,-1.295570714984e+00  
  1.004693839837e-07  ,-1.106310155180e+00  ,-1.474559833386e+00  
