  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.381107160300e-01  ,5.026515172447e-01  
  2.146363163367e-10  ,2.556481021886e-01  ,5.394358118084e-01  
  2.439089490101e-10  ,2.909411863055e-01  ,6.130040510024e-01  
  3.024542143568e-10  ,3.622503541859e-01  ,7.601389118956e-01  
  4.195447450504e-10  ,5.081270889898e-01  ,1.054400421640e+00  
  5.540510078892e-10  ,6.497565492077e-01  ,1.392411748624e+00  
  7.112815415487e-10  ,7.791884972798e-01  ,1.787496726985e+00  
  8.230635335669e-10  ,7.508982864689e-01  ,2.068353778807e+00  
  9.011782145128e-10  ,6.814093859518e-01  ,2.264605332559e+00  
  9.556605851278e-10  ,6.824504619786e-01  ,2.401476207821e+00  
  1.016895044409e-09  ,6.877250965957e-01  ,2.555301295839e+00  
  1.098187863640e-09  ,6.903999753241e-01  ,2.759499629271e+00  
  1.260773502104e-09  ,6.899331350854e-01  ,3.167840969160e+00  
  1.585944779031e-09  ,6.921975646721e-01  ,3.984265057055e+00  
  2.236287332885e-09  ,6.957040476134e-01  ,5.615780722701e+00  
  3.536972440593e-09  ,6.997623975109e-01  ,8.871099663493e+00  
  5.187276042812e-09  ,7.033322718867e-01  ,1.297941915202e+01  
  6.750035323016e-09  ,7.055721041248e-01  ,1.683782757352e+01  
  8.376497067325e-09  ,7.066433885394e-01  ,2.081029039039e+01  
  1.100468937289e-08  ,7.074856505255e-01  ,2.711012224474e+01  
  1.563448015582e-08  ,7.068841760461e-01  ,3.773275013238e+01  
  2.084914151561e-08  ,7.045333927054e-01  ,4.873242847620e+01  
  3.127846423518e-08  ,6.967075434168e-01  ,6.655728700343e+01  
  5.127880278956e-08  ,6.747151260992e-01  ,7.993544818277e+01  
  5.377884510886e-08  ,6.710624413884e-01  ,7.943692298574e+01  
  5.877892974745e-08  ,6.629096317247e-01  ,7.697665112192e+01  
  6.877909902465e-08  ,6.419202853980e-01  ,6.647691021855e+01  
  8.877943757903e-08  ,4.542011256756e-01  ,2.761994092534e+01  
  9.032133523356e-08  ,2.916683465779e-01  ,2.395203633337e+01  
  9.340513054263e-08  ,-1.573974939340e-01  ,1.645639021537e+01  
  9.397053647768e-08  ,-2.388094020253e-01  ,1.506323701546e+01  
  9.510134834778e-08  ,-3.912843198088e-01  ,1.226311399283e+01  
  9.736297208797e-08  ,-5.450969386644e-01  ,6.619995508313e+00  
  9.986562211048e-08  ,-6.374843976042e-01  ,3.377274692575e-01  
  1.001745418085e-07  ,-8.577066132336e-01  ,-4.386692123127e-01  
  1.006790392471e-07  ,-1.085929052062e+00  ,-1.706482329881e+00  
  1.006950085189e-07  ,-9.458035274691e-01  ,-1.746608138904e+00  
  1.007269470625e-07  ,-8.478785487522e-01  ,-1.826858428027e+00  
  1.007428755889e-07  ,-8.646979071261e-01  ,-1.866880511552e+00  
  1.007684200209e-07  ,-8.840055300406e-01  ,-1.931062580332e+00  
  1.007914586131e-07  ,-8.896701621156e-01  ,-1.988947496019e+00  
  1.008313017569e-07  ,-9.028312313377e-01  ,-2.089051701678e+00  
  1.008937935017e-07  ,-9.154863265563e-01  ,-2.246052901824e+00  
  1.009328974083e-07  ,-8.312156547347e-01  ,-2.344291277407e+00  
  1.009716055028e-07  ,-7.775929800648e-01  ,-2.441531794325e+00  
  1.009838262012e-07  ,-7.775370300112e-01  ,-2.472231271599e+00  
  1.010082675980e-07  ,-7.824613015512e-01  ,-2.533629128415e+00  
  1.010339488180e-07  ,-7.825070002869e-01  ,-2.598139865177e+00  
  1.010853112580e-07  ,-7.818722479272e-01  ,-2.727156223126e+00  
  1.011476050967e-07  ,-7.813890215855e-01  ,-2.883621397916e+00  
  1.012721927742e-07  ,-7.805401110231e-01  ,-3.196518016164e+00  
  1.015213681290e-07  ,-7.791110923693e-01  ,-3.822159551149e+00  
  1.018545022139e-07  ,-7.775571155981e-01  ,-4.658236113636e+00  
  1.023482894430e-07  ,-7.756410824024e-01  ,-5.896542979884e+00  
  1.028678743074e-07  ,-7.738359994154e-01  ,-7.198006802759e+00  
  1.039070440361e-07  ,-7.704644370980e-01  ,-9.794834635273e+00  
  1.059853834936e-07  ,-7.638837264046e-01  ,-1.495441898343e+01  
  1.085159731934e-07  ,-7.564471024332e-01  ,-2.114856350838e+01  
  1.106967581341e-07  ,-7.504582202056e-01  ,-2.638074136891e+01  
  1.124588204453e-07  ,-7.458478004317e-01  ,-3.051903161412e+01  
  1.142383916209e-07  ,-7.414337811786e-01  ,-3.460350423125e+01  
  1.173125011751e-07  ,-7.341800344381e-01  ,-4.139736763615e+01  
  1.205054474900e-07  ,-7.273266077127e-01  ,-4.804456583369e+01  
  1.268913401196e-07  ,-7.150009218551e-01  ,-5.982793725605e+01  
  1.371329082081e-07  ,-6.974634226977e-01  ,-7.355239085591e+01  
  1.529042972157e-07  ,-6.736746458425e-01  ,-7.966723277686e+01  
  1.716678393910e-07  ,-6.341855639668e-01  ,-6.216982202951e+01  
  1.916681779454e-07  ,-1.867512386761e-01  ,-2.070185474974e+01  
  1.932834638188e-07  ,5.861008158010e-02  ,-1.675551167557e+01  
  1.965140355656e-07  ,4.935172684707e-01  ,-8.743681839846e+00  
  1.972500597963e-07  ,5.332422581626e-01  ,-6.902759539805e+00  
  1.987221082577e-07  ,5.847512000954e-01  ,-3.210829595803e+00  
  1.990901203731e-07  ,5.966190506860e-01  ,-2.286465518454e+00  
  1.998261446038e-07  ,6.306233182360e-01  ,-4.369440958632e-01  
  2.003671498874e-07  ,9.736201599723e-01  ,9.227278507960e-01  
  2.004325636568e-07  ,9.955182584226e-01  ,1.087117584362e+00  
  2.005496541874e-07  ,1.053142720741e+00  ,1.381362994267e+00  
  2.006251378821e-07  ,8.964534542788e-01  ,1.571041865604e+00  
  2.006948124522e-07  ,8.217308574653e-01  ,1.746115487001e+00  
  2.007218470003e-07  ,8.473239846264e-01  ,1.814043892992e+00  
  2.007588205066e-07  ,8.690304387471e-01  ,1.906943311660e+00  
  2.008063412409e-07  ,8.867631929377e-01  ,2.026339839036e+00  
  2.008723370869e-07  ,8.992083736471e-01  ,2.192147800981e+00  
  2.009140312344e-07  ,8.236166651768e-01  ,2.296895364154e+00  
  2.009553586736e-07  ,7.761494382820e-01  ,2.400717763314e+00  
  2.009682851399e-07  ,7.773028327634e-01  ,2.433190686181e+00  
  2.009906718063e-07  ,7.805105507713e-01  ,2.489427879236e+00  
  2.010200724958e-07  ,7.823075515285e-01  ,2.563283014787e+00  
  2.010788738749e-07  ,7.820986884822e-01  ,2.710986662449e+00  
  2.011964766330e-07  ,7.809486300510e-01  ,3.006365699909e+00  
  2.014316821492e-07  ,7.794771599058e-01  ,3.596996632319e+00  
  2.018823025770e-07  ,7.773541339397e-01  ,4.727985713775e+00  
  2.023079635597e-07  ,7.760417664820e-01  ,5.795463952536e+00  
  2.029221707976e-07  ,7.735407247898e-01  ,7.333904741443e+00  
  2.038168923951e-07  ,7.708758052399e-01  ,9.569924512779e+00  
  2.056063355899e-07  ,7.650140412018e-01  ,1.401752173157e+01  
  2.087281288601e-07  ,7.559943052700e-01  ,2.166232646427e+01  
  2.111640961862e-07  ,7.492046156989e-01  ,2.748670862596e+01  
  2.131671847797e-07  ,7.440396996853e-01  ,3.215701446749e+01  
  2.152157219148e-07  ,7.390714579645e-01  ,3.680147772692e+01  
  2.186247350669e-07  ,7.312574151728e-01  ,4.418350764368e+01  
  2.222013862825e-07  ,7.238763791899e-01  ,5.138288274977e+01  
  2.293546887136e-07  ,7.106966703383e-01  ,6.375482909672e+01  
  2.436612935758e-07  ,6.879774104998e-01  ,7.841902367785e+01  
  2.585505338407e-07  ,6.642616032628e-01  ,7.713098294832e+01  
  2.785508723951e-07  ,6.080340996188e-01  ,4.991956574408e+01  
  2.921630831457e-07  ,1.297180661225e-01  ,1.949793584614e+01  
  2.935094030595e-07  ,-8.038582879621e-02  ,1.619984147102e+01  
  2.962020428873e-07  ,-4.704493164979e-01  ,9.522674995365e+00  
  2.968597428895e-07  ,-5.146717915413e-01  ,7.879530982153e+00  
  2.981751428938e-07  ,-5.675077572444e-01  ,4.583854235728e+00  
  2.985039928949e-07  ,-5.782301435968e-01  ,3.758491927981e+00  
  2.991616928971e-07  ,-5.991194815768e-01  ,2.106652001674e+00  
  2.997694740093e-07  ,-6.246231134859e-01  ,5.793699423762e-01  
  3.002891520060e-07  ,-9.270354469416e-01  ,-7.267082595782e-01  
  3.005619829542e-07  ,-1.057164930609e+00  ,-1.412343840797e+00  
  3.005935838933e-07  ,-1.000696774576e+00  ,-1.491752576442e+00  
  3.006276237334e-07  ,-8.074629786361e-01  ,-1.577288281711e+00  
  3.006359241459e-07  ,-8.116968996715e-01  ,-1.598145384630e+00  
  3.006525249708e-07  ,-8.262044787615e-01  ,-1.639859263034e+00  
  3.006686572240e-07  ,-8.295683352983e-01  ,-1.680395306359e+00  
  3.007009217304e-07  ,-8.427215848926e-01  ,-1.761466087736e+00  
  3.007333492183e-07  ,-8.568313120599e-01  ,-1.842944567722e+00  
  3.007982041941e-07  ,-8.840634091455e-01  ,-2.005895705143e+00  
  3.008909522810e-07  ,-8.886425663287e-01  ,-2.238914941299e+00  
  3.009394567248e-07  ,-7.966660737389e-01  ,-2.360769508490e+00  
  3.009669598446e-07  ,-7.805988584749e-01  ,-2.429861394647e+00  
  3.009846637047e-07  ,-7.801715239377e-01  ,-2.474335141228e+00  
  3.010069543284e-07  ,-7.814549641377e-01  ,-2.530330175437e+00  
  3.010515355759e-07  ,-7.828266289914e-01  ,-2.642316493829e+00  
  3.011406980709e-07  ,-7.813772777565e-01  ,-2.866273361677e+00  
  3.013190230609e-07  ,-7.802480280575e-01  ,-3.314117871557e+00  
  3.016756730408e-07  ,-7.786638258647e-01  ,-4.209480797544e+00  
  3.020113682629e-07  ,-7.770930473682e-01  ,-5.051756422798e+00  
  3.026037825526e-07  ,-7.748801392596e-01  ,-6.536723775187e+00  
  3.032044856132e-07  ,-7.728434345757e-01  ,-8.040153763831e+00  
  3.044058917345e-07  ,-7.690116362871e-01  ,-1.103788936675e+01  
  3.068087039770e-07  ,-7.615500064751e-01  ,-1.698194636877e+01  
  3.093627630056e-07  ,-7.541940349190e-01  ,-2.319334184021e+01  
  3.115372149528e-07  ,-7.483294472649e-01  ,-2.836546152502e+01  
