Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1u,,,C1,,,18,,,
2,1,0.1u,,,C2,,,3,,,
3,1,0.1u,,,C3,,,12,,,
4,1,0.1u,,,C5,,,101,,,
5,1,0.1u,,,C6,,,24,,,
6,1,0.1u,,,C7,,,30,,,
7,1,22p,,,C8,,,9,,,
8,1,0.1u,,,C9,,,27,,,
9,1,0.1u,,,C13,,,145,,,
10,1,D1N4148,,,D7,,,67,,,
11,1,D1N4148,,,D8,,,6,,,
12,1,D1N4148,,,D9,,,61,,,
13,1,D1N4148,,,D10,,,58,,,
14,1,D1N4148,,,D11,,,89,,,
15,1,D1N4148,,,D12,,,70,,,
16,1,1k,,,R6,,,74,,,
17,1,1k,,,R7,,,52,,,
18,1,1k,,,R8,,,21,,,
19,1,10k,,,R9,,,104,,,
20,1,10k,,,R10,,,33,,,
21,1,1k,,,R11,,,243,,,
22,1,1k,,,R12,,,246,,,
23,1,280,,,RIZ,,,15,,,
24,1,LNA,,,U1,,,80,,,
25,1,VGA,,,U2,,,39,,,
26,1,LNA,,,U4,,,136,,,
