  Time                 , V(D2:2)              , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,-4.256577729178e-16  
  2.500000000000e-10  ,1.570780177742e-02  ,1.567551770274e-02  
  5.000000000000e-10  ,3.141463462364e-02  ,3.133587531907e-02  
  1.000027090311e-09  ,6.282321945078e-02  ,6.259716062043e-02  
  2.000081270933e-09  ,1.255861353852e-01  ,1.249615466048e-01  
  4.000189632177e-09  ,2.506782881124e-01  ,2.486853669905e-01  
  8.000406354666e-09  ,4.974045041706e-01  ,4.908410691393e-01  
  1.600083979964e-08  ,9.635535872134e-01  ,9.430635380594e-01  
  3.200170668960e-08  ,1.688713307679e+00  ,1.631490300567e+00  
  4.806813868880e-08  ,1.996317707156e+00  ,1.899307838427e+00  
  6.591674956679e-08  ,1.755127310046e+00  ,1.646989423790e+00  
  8.498427543044e-08  ,9.088612065235e-01  ,8.410290436967e-01  
  1.099854436815e-07  ,-6.171640874239e-01  ,-6.198970136328e-01  
  1.342951980531e-07  ,-1.761473355668e+00  ,-1.704207060320e+00  
  1.587420431077e-07  ,-1.925046118410e+00  ,-1.813861021341e+00  
  1.805513826311e-07  ,-1.147367638431e+00  ,-1.067285571177e+00  
  2.023040977418e-07  ,1.446443394496e-01  ,1.680342963579e-01  
  2.273052659929e-07  ,1.512837200615e+00  ,1.473896078476e+00  
  2.523064342439e-07  ,1.994752023541e+00  ,1.890835048275e+00  
  2.705663171709e-07  ,1.596863998209e+00  ,1.494967316464e+00  
  2.896368232667e-07  ,6.396955137885e-01  ,5.838965258102e-01  
  3.146379915178e-07  ,-8.876561824568e-01  ,-8.801250602405e-01  
  3.396391597688e-07  ,-1.894984851968e+00  ,-1.820033045327e+00  
  3.608762947023e-07  ,-1.884380206315e+00  ,-1.775741096600e+00  
  3.836601701677e-07  ,-9.821631049921e-01  ,-9.105583454711e-01  
  4.086613384187e-07  ,5.375171825768e-01  ,5.436630421352e-01  
  4.336625066698e-07  ,1.742299294783e+00  ,1.686839296425e+00  
  4.574835029542e-07  ,1.944981555049e+00  ,1.834585572686e+00  
  4.782736030519e-07  ,1.261555165459e+00  ,1.175821312995e+00  
  4.990875450075e-07  ,5.732338666572e-02  ,2.581404435608e-02  
  5.240887132585e-07  ,-1.373152173995e+00  ,-1.342180113024e+00  
  5.490898815095e-07  ,-1.999182540898e+00  ,-1.901382355534e+00  
  5.664288726747e-07  ,-1.739472925183e+00  ,-1.631923388157e+00  
  5.865901437700e-07  ,-8.178633266720e-01  ,-7.542637704400e-01  
  6.115913120210e-07  ,7.123136976987e-01  ,7.109207084349e-01  
  6.355792013109e-07  ,1.798238887473e+00  ,1.737585507681e+00  
  6.597190824449e-07  ,1.907493214864e+00  ,1.795924470828e+00  
  6.847202506959e-07  ,9.236071028546e-01  ,8.547053118991e-01  
  7.073491540849e-07  ,-4.576694670946e-01  ,-4.669420664583e-01  
  7.323503223360e-07  ,-1.700347643081e+00  ,-1.647846979245e+00  
  7.564633813798e-07  ,-1.958910901405e+00  ,-1.849432862811e+00  
  7.768004861772e-07  ,-1.332000948140e+00  ,-1.242907860951e+00  
  7.972597804964e-07  ,-1.719604887022e-01  ,-1.358458572703e-01  
  8.222609487474e-07  ,1.287438252263e+00  ,1.258496298400e+00  
  8.447378602922e-07  ,1.972733135665e+00  ,1.888718798026e+00  
  8.677839961946e-07  ,1.695889112728e+00  ,1.588963046706e+00  
  8.894026008546e-07  ,6.536216182122e-01  ,5.964478833976e-01  
  9.144037691057e-07  ,-8.744445242288e-01  ,-8.658016011097e-01  
  9.394049373567e-07  ,-1.890227535895e+00  ,-1.816070274277e+00  
  9.622484174669e-07  ,-1.853750517869e+00  ,-1.742274332706e+00  
  9.852021661699e-07  ,-8.966447742924e-01  ,-8.291349946994e-01  
  1.010203334421e-06  ,6.301718789421e-01  ,6.323413629770e-01  
