Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,D1N4148,,,D1,,,3,,,
2,1,D1N4148,,,D2,,,6,,,
3,1,D1N4148,,,D3,,,12,,,
4,1,D1N4148,,,D4,,,15,,,
5,1,D1N4148,,,D7,,,140,,,
6,1,D1N4148,,,D8,,,146,,,
7,1,D1N4148,,,D9,,,143,,,
8,1,D1N4148,,,D10,,,122,,,
9,1,D1N4148,,,D11,,,137,,,
10,1,D1N4148,,,D12,,,116,,,
11,1,D1N4148,,,D13,,,155,,,
12,1,D1N4148,,,D14,,,158,,,
13,1,1k,,,R1,,,45,,,
14,1,1k,,,R2,,,97,,,
15,1,1k,,,R3,,,101,,,
16,1,1k,,,R4,,,125,,,
17,1,1k,,,R5,,,131,,,
18,1,1k,,,R6,,,134,,,
