Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1u,,,C1,,,218,,,
2,1,0.1u,,,C2,,,215,,,
3,1,0.1u,,,C3,,,239,,,
4,1,0.1u,,,C5,,,236,,,
5,1,0.1u,,,C6,,,227,,,
6,1,0.1u,,,C7,,,206,,,
7,1,22p,,,C8,,,212,,,
8,1,0.1u,,,C9,,,203,,,
9,1,D1N4148,,,D1,,,95,,,
10,1,D1N4148,,,D2,,,110,,,
11,1,D1N4148,,,D3,,,116,,,
12,1,D1N4148,,,D4,,,104,,,
13,1,D1N4148,,,D5,,,125,,,
14,1,D1N4148,,,D6,,,128,,,
15,1,D1N4148,,,D7,,,157,,,
16,1,D1N4148,,,D8,,,154,,,
17,1,D1N4148,,,D9,,,169,,,
18,1,D1N4148,,,D10,,,166,,,
19,1,D1N4148,,,D11,,,148,,,
20,1,D1N4148,,,D12,,,160,,,
21,1,1k,,,R1,,,89,,,
22,1,1k,,,R2,,,101,,,
23,1,10,,,R3,,,49,,,
24,1,1k,,,R5,,,113,,,
25,1,1k,,,R6,,,163,,,
26,1,1k,,,R7,,,142,,,
27,1,1k,,,R8,,,151,,,
28,1,10k,,,R9,,,224,,,
29,1,10k,,,R10,,,230,,,
30,1,1k,,,R11,,,280,,,
31,1,1k,,,R12,,,305,,,
32,1,1,,,R13,,,313,,,
33,1,280,,,RIZ,,,221,,,
34,1,LNA,,,U1,,,181,,,
35,1,VGA,,,U2,,,190,,,
36,1,ADA4870,,,U3,,,57,,,
