  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,8.908834273892e-04  ,1.884943189668e-03  
  4.000000000000e-10  ,1.759050081630e-03  ,3.769811965006e-03  
  6.616085112095e-10  ,2.841670004198e-03  ,6.235064349065e-03  
  1.184825533628e-09  ,4.885484980805e-03  ,1.116413916210e-02  
  2.231259578466e-09  ,8.450304332740e-03  ,2.101190887240e-02  
  3.847849303484e-09  ,1.278406986429e-02  ,3.617686682702e-02  
  5.767491394281e-09  ,1.639536840815e-02  ,5.406038656327e-02  
  7.544827395678e-09  ,1.872758400716e-02  ,7.044435443924e-02  
  9.629872375727e-09  ,2.046977386599e-02  ,8.938126824132e-02  
  1.255720549226e-08  ,2.184919010885e-02  ,1.153029528270e-01  
  1.841187172532e-08  ,2.217232819336e-02  ,1.640120022691e-01  
  2.585872703195e-08  ,2.044348666491e-02  ,2.177769859192e-01  
  4.044845395684e-08  ,1.270276961233e-02  ,2.865946808049e-01  
  4.294849627614e-08  ,1.086324916495e-02  ,2.926687562147e-01  
  4.794858091474e-08  ,6.996024892701e-03  ,2.993771987661e-01  
  5.794875019193e-08  ,-1.451727958921e-03  ,2.906946933662e-01  
  7.794908874631e-08  ,-1.764022370406e-02  ,1.915966654318e-01  
  9.794942730069e-08  ,-2.641738414382e-02  ,1.931282781252e-02  
  1.102309643567e-07  ,-2.617665183100e-02  ,-9.477288794559e-02  
  1.171018897831e-07  ,-2.425406982345e-02  ,-1.535382016976e-01  
  1.204356520712e-07  ,-2.295128840169e-02  ,-1.796407191618e-01  
  1.243121891558e-07  ,-2.129537828551e-02  ,-2.074990745757e-01  
  1.320652633250e-07  ,-1.758201444021e-02  ,-2.536274279777e-01  
  1.475714116633e-07  ,-7.537428511980e-03  ,-2.991272534708e-01  
  1.493595510066e-07  ,-6.032324219970e-03  ,-2.999392780866e-01  
  1.529358296931e-07  ,-2.951549078168e-03  ,-2.987248982790e-01  
  1.600883870661e-07  ,3.323181410550e-03  ,-2.850584353105e-01  
  1.743935018122e-07  ,1.502236086863e-02  ,-2.161351850502e-01  
  1.943938403666e-07  ,2.532959552106e-02  ,-5.256407379680e-02  
  2.066992192805e-07  ,2.627688319213e-02  ,6.267357139206e-02  
  2.148561149180e-07  ,2.471587310165e-02  ,1.349874820460e-01  
  2.182543247283e-07  ,2.357076197118e-02  ,1.627667013770e-01  
  2.237401872218e-07  ,2.145904731726e-02  ,2.035723014478e-01  
