  Time                 , V(R5:1)              , V(D14:2)             
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,1.484805774791e-03  ,3.141571982779e-03  
  4.000000000000e-10  ,2.931750882366e-03  ,6.283019941676e-03  
  6.026325091720e-10  ,4.344344181471e-03  ,9.465563836833e-03  
  1.007897527516e-09  ,7.045287194314e-03  ,1.582937191333e-02  
  1.818427564204e-09  ,1.190752667985e-02  ,2.854825930448e-02  
  3.439487637579e-09  ,1.967958894953e-02  ,5.392227127221e-02  
  4.887135447562e-09  ,2.489238448497e-02  ,7.646569925961e-02  
  6.356762470305e-09  ,2.885876626529e-02  ,9.918940672721e-02  
  7.685200990736e-09  ,3.153569679589e-02  ,1.195494411726e-01  
  1.032792192847e-08  ,3.498794994639e-02  ,1.593990899933e-01  
  1.561336380392e-08  ,3.798949962030e-02  ,2.355371542696e-01  
  2.065740686804e-08  ,3.769382828150e-02  ,3.021836873127e-01  
  3.074549299628e-08  ,3.645063538896e-02  ,4.112800030685e-01  
  4.257403475195e-08  ,3.747101238399e-02  ,4.864551267264e-01  
  4.507407707125e-08  ,3.651378433799e-02  ,4.940248599688e-01  
  5.007416170985e-08  ,3.201382911979e-02  ,4.999986429401e-01  
  6.007433098704e-08  ,1.097868583741e-02  ,4.751661572738e-01  
  7.016688746363e-08  ,-1.880340389913e-02  ,4.029620878527e-01  
  8.175701064020e-08  ,-3.841395505365e-02  ,2.711282482335e-01  
  9.250819844157e-08  ,-4.258915956924e-02  ,1.165974554631e-01  
  1.016545311823e-07  ,-4.274005867556e-02  ,-2.597761372564e-02  
  1.089784519091e-07  ,-4.177731716334e-02  ,-1.391704841205e-01  
  1.136127130404e-07  ,-4.067223369890e-02  ,-2.073695184634e-01  
  1.159808800831e-07  ,-3.996501527891e-02  ,-2.406136080876e-01  
  1.189737783089e-07  ,-3.902209361727e-02  ,-2.807009279170e-01  
  1.249476538315e-07  ,-3.726375218835e-02  ,-3.529714930353e-01  
  1.318357155934e-07  ,-3.624031520536e-02  ,-4.207756058321e-01  
  1.456118391171e-07  ,-3.651054109472e-02  ,-4.952563032356e-01  
  1.474158109441e-07  ,-3.512534638555e-02  ,-4.983531661993e-01  
  1.510237545982e-07  ,-3.079942418508e-02  ,-4.997414205257e-01  
  1.582396419063e-07  ,-1.579370603092e-02  ,-4.833417248675e-01  
  1.682070286289e-07  ,1.354540808266e-02  ,-4.204125381667e-01  
  1.791862041965e-07  ,3.483510107890e-02  ,-3.041371811682e-01  
  1.893160135761e-07  ,3.983801078286e-02  ,-1.646902242663e-01  
  2.006945402637e-07  ,4.188555376031e-02  ,1.090894728459e-02  
  2.083507568851e-07  ,4.161443308392e-02  ,1.296738659526e-01  
  2.129984290615e-07  ,4.072115548978e-02  ,1.985512983379e-01  
  2.165881187931e-07  ,3.973961226684e-02  ,2.489307142962e-01  
  2.203826994911e-07  ,3.858570982507e-02  ,2.987346169395e-01  
  2.258149178043e-07  ,3.700134535645e-02  ,3.624880041795e-01  
  2.337482960239e-07  ,3.628519227139e-02  ,4.362349244782e-01  
  2.464247138515e-07  ,3.600143768208e-02  ,4.968493168465e-01  
  2.485864998117e-07  ,3.392283330203e-02  ,4.995070985137e-01  
  2.529100717321e-07  ,2.757046282020e-02  ,4.979119320270e-01  
  2.615572155729e-07  ,6.379247516068e-03  ,4.674035779739e-01  
  2.711386622205e-07  ,-2.152900977978e-02  ,3.937387883149e-01  
  2.817065657392e-07  ,-3.677025286853e-02  ,2.717936810537e-01  
  2.923623861089e-07  ,-4.053439492827e-02  ,1.188234923989e-01  
  3.024772943273e-07  ,-4.182894797323e-02  ,-3.887397750449e-02  
  3.085405768171e-07  ,-4.145959352001e-02  ,-1.325512064071e-01  
  3.129624964014e-07  ,-4.063392045524e-02  ,-1.980331536382e-01  
  3.165447355524e-07  ,-3.969220011135e-02  ,-2.483394805599e-01  
  3.202096761480e-07  ,-3.860156199900e-02  ,-2.965507972037e-01  
  3.259153307691e-07  ,-3.701915884443e-02  ,-3.635725905891e-01  
  3.337548316732e-07  ,-3.632466123503e-02  ,-4.362850827838e-01  
  3.463537634626e-07  ,-3.604638822151e-02  ,-4.967231656317e-01  
  3.483456761852e-07  ,-3.417876841342e-02  ,-4.993248767895e-01  
  3.523295016304e-07  ,-2.859413811216e-02  ,-4.986616430782e-01  
  3.602971525207e-07  ,-1.003578951870e-02  ,-4.740651719886e-01  
  3.700499625221e-07  ,1.873767120769e-02  ,-4.040466996550e-01  
  3.803764672294e-07  ,3.577351307631e-02  ,-2.890880341143e-01  
  3.908653945938e-07  ,4.021832541498e-02  ,-1.415247223832e-01  
  3.992771000877e-07  ,4.162668951284e-02  ,-1.135430917467e-02  
  4.081000776306e-07  ,4.156123056989e-02  ,1.258669544834e-01  
