  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,8.908855159124e-03  ,1.884943189668e-02  
  4.000000000000e-10  ,1.759075049949e-02  ,3.769811965006e-02  
  5.844018697739e-10  ,2.532903250004e-02  ,5.507548443395e-02  
  9.532056093216e-10  ,4.028865779426e-02  ,8.982408577777e-02  
  1.690813088417e-09  ,6.732423082515e-02  ,1.592804511398e-01  
  3.166028046608e-09  ,1.119568613881e-01  ,2.978993582463e-01  
  4.595421934128e-09  ,1.471183424503e-01  ,4.316053682651e-01  
  5.831286990643e-09  ,1.758209411890e-01  ,5.465169416049e-01  
  6.990969860554e-09  ,2.102759436304e-01  ,6.535991238098e-01  
  9.163186633587e-09  ,3.203109760415e-01  ,8.517315501549e-01  
  1.221308180094e-08  ,5.171604954618e-01  ,1.123020998032e+00  
  1.555764743090e-08  ,6.501692843290e-01  ,1.408588762501e+00  
  1.784125038385e-08  ,6.703763164167e-01  ,1.594827781485e+00  
  1.927287944555e-08  ,6.676162443222e-01  ,1.707459001574e+00  
  1.985514231920e-08  ,6.684803107723e-01  ,1.752292418902e+00  
  2.071968906522e-08  ,6.686408824822e-01  ,1.817775280183e+00  
  2.242047035098e-08  ,6.685529651282e-01  ,1.942638452199e+00  
  2.582203292251e-08  ,6.680465176166e-01  ,2.175389851706e+00  
  2.898852967620e-08  ,6.673658372651e-01  ,2.369802298503e+00  
  3.532152318358e-08  ,6.657129240542e-01  ,2.686640181074e+00  
  4.798751019835e-08  ,6.623368225994e-01  ,2.994006041815e+00  
  6.798784875274e-08  ,6.568618767109e-01  ,2.533597235817e+00  
  8.474271439910e-08  ,6.200331416941e-01  ,1.383532431336e+00  
  9.554754638076e-08  ,-1.924236874021e-01  ,4.182667904782e-01  
  1.011831655443e-07  ,-5.026835777014e-01  ,-1.114850495271e-01  
  1.030491634548e-07  ,-4.741944121609e-01  ,-2.869375839814e-01  
  1.045105948389e-07  ,-4.414326168308e-01  ,-4.236922506399e-01  
  1.063818081558e-07  ,-3.970098846447e-01  ,-5.974498422004e-01  
  1.090278818548e-07  ,-3.764086139162e-01  ,-8.394964592422e-01  
  1.114068522394e-07  ,-4.812772960632e-01  ,-1.052207767936e+00  
  1.135798140705e-07  ,-5.879480739557e-01  ,-1.241395035597e+00  
  1.157930090368e-07  ,-6.555694485974e-01  ,-1.428135210192e+00  
  1.173313676655e-07  ,-6.692634751015e-01  ,-1.553922560522e+00  
  1.186408072054e-07  ,-6.673468266796e-01  ,-1.658144107118e+00  
  1.191826506793e-07  ,-6.682433006374e-01  ,-1.700460007734e+00  
  1.199926219225e-07  ,-6.685375701778e-01  ,-1.762793145451e+00  
  1.213337264299e-07  ,-6.685659359791e-01  ,-1.863472375346e+00  
  1.240159354448e-07  ,-6.683287668260e-01  ,-2.054735884007e+00  
  1.269641301870e-07  ,-6.677647485552e-01  ,-2.248096116446e+00  
  1.323479197264e-07  ,-6.664876481665e-01  ,-2.550402235892e+00  
  1.431154988050e-07  ,-6.636267485815e-01  ,-2.930105606754e+00  
  1.607465527296e-07  ,-6.588972081473e-01  ,-2.830644126363e+00  
  1.798349402189e-07  ,-6.525809617047e-01  ,-1.775917480004e+00  
  1.922088644743e-07  ,-8.477610086883e-02  ,-7.269871650996e-01  
  1.984330795050e-07  ,4.135836993153e-01  ,-1.476191415638e-01  
  1.999926722884e-07  ,4.877697532861e-01  ,-6.906205401264e-04  
  2.018817669988e-07  ,4.814672947590e-01  ,1.772490754165e-01  
  2.032822898865e-07  ,4.529479650871e-01  ,3.088006108281e-01  
  2.044440216660e-07  ,4.253032337799e-01  ,4.174798446962e-01  
  2.058112032056e-07  ,3.932326560618e-01  ,5.446556546091e-01  
  2.085455662847e-07  ,3.611601959006e-01  ,7.957606496213e-01  
  2.108779705405e-07  ,4.501705822696e-01  ,1.005385244602e+00  
  2.127150974512e-07  ,5.492491434619e-01  ,1.166753250850e+00  
  2.146012119293e-07  ,6.246014498680e-01  ,1.328377107970e+00  
  2.174003950596e-07  ,6.695756791007e-01  ,1.559483835471e+00  
  2.186040363550e-07  ,6.675297715910e-01  ,1.655254896610e+00  
  2.192727259636e-07  ,6.681754728740e-01  ,1.707447107699e+00  
  2.201900786996e-07  ,6.684661051928e-01  ,1.777817362480e+00  
  2.215390063167e-07  ,6.684938793318e-01  ,1.878595624046e+00  
  2.242368615508e-07  ,6.682309974176e-01  ,2.069857569826e+00  
  2.272282696605e-07  ,6.676943053137e-01  ,2.264502625652e+00  
  2.332110858798e-07  ,6.662246711927e-01  ,2.592296289755e+00  
  2.443646050334e-07  ,6.632911566220e-01  ,2.953107318736e+00  
  2.467089302182e-07  ,6.626469174917e-01  ,2.983979418666e+00  
  2.513975805879e-07  ,6.614170574990e-01  ,2.997108821173e+00  
  2.607748813272e-07  ,6.589061318316e-01  ,2.829758636816e+00  
  2.795294828057e-07  ,6.528028270276e-01  ,1.799037828698e+00  
  2.917976088166e-07  ,1.187832525788e-01  ,7.645301019496e-01  
  2.979450828671e-07  ,-3.799514787102e-01  ,1.935368802150e-01  
  2.995367131472e-07  ,-4.735703922524e-01  ,4.366221562525e-02  
  3.018612942934e-07  ,-4.821844983973e-01  ,-1.753229025746e-01  
  3.038926950932e-07  ,-4.396076452153e-01  ,-3.659640800102e-01  
  3.049091405511e-07  ,-4.151511778060e-01  ,-4.608436218473e-01  
  3.060300804019e-07  ,-3.895946938084e-01  ,-5.649284875844e-01  
