  Time                 , V(Vsin:+)            , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,1.570780177742e-03  ,1.567551770290e-03  
  4.737968146801e-10  ,2.976843258704e-03  ,2.969945835034e-03  
  9.213904440403e-10  ,5.788458472294e-03  ,5.773141522326e-03  
  1.816577702761e-09  ,1.140769964134e-02  ,1.136121120793e-02  
  3.606952220201e-09  ,2.261467945252e-02  ,2.245592577608e-02  
  7.187701255083e-09  ,4.477884199370e-02  ,4.423830028727e-02  
  1.211253502965e-08  ,7.428187396077e-02  ,7.298783097567e-02  
  1.714540222287e-08  ,1.025935827876e-01  ,1.003347185616e-01  
  2.249566414952e-08  ,1.298688927579e-01  ,1.265140153953e-01  
  2.766115167737e-08  ,1.527368372283e-01  ,1.483262625453e-01  
  3.038098612428e-08  ,1.631988197344e-01  ,1.582485824586e-01  
  3.180386075377e-08  ,1.682020416506e-01  ,1.629756184892e-01  
  3.374101170897e-08  ,1.744715995254e-01  ,1.688790461627e-01  
  3.624887713790e-08  ,1.816256809445e-01  ,1.755860207813e-01  
  4.126460799575e-08  ,1.925159411118e-01  ,1.856832249856e-01  
  4.778610119224e-08  ,1.995164513240e-01  ,1.918912155443e-01  
  5.556152710319e-08  ,1.969550317978e-01  ,1.887891425299e-01  
  6.567494520545e-08  ,1.762361044437e-01  ,1.680828739295e-01  
  7.527576336265e-08  ,1.401908801499e-01  ,1.327978340603e-01  
  8.467094549537e-08  ,9.263538089289e-02  ,8.662449753289e-02  
  8.925081738830e-08  ,6.626273197888e-02  ,6.112747685722e-02  
  9.024379351735e-08  ,6.034477219940e-02  ,5.541543425245e-02  
  9.122708389163e-08  ,5.442665612153e-02  ,4.970607550300e-02  
  9.319366464019e-08  ,4.244032251348e-02  ,3.814815651584e-02  
  9.712682613730e-08  ,1.802817978899e-02  ,1.463787922417e-02  
  1.005246634185e-07  ,-3.296408215183e-03  ,-5.864068144117e-03  
  1.046910280883e-07  ,-2.936802241238e-02  ,-3.088688455691e-02  
  1.074332142770e-07  ,-4.628093756006e-02  ,-4.709874617086e-02  
  1.102543766201e-07  ,-6.332147850360e-02  ,-6.341812770121e-02  
  1.158967013061e-07  ,-9.578146613599e-02  ,-9.442795660512e-02  
  1.205361778438e-07  ,-1.202657454620e-01  ,-1.177470211955e-01  
  1.255668098629e-07  ,-1.439170723811e-01  ,-1.401996526258e-01  
  1.286006862819e-07  ,-1.564808475626e-01  ,-1.520799686416e-01  
  1.320760096014e-07  ,-1.691210048635e-01  ,-1.639786942849e-01  
  1.331302667558e-07  ,-1.725636080488e-01  ,-1.672090815630e-01  
  1.348731438220e-07  ,-1.778380325783e-01  ,-1.721436943267e-01  
  1.383588979542e-07  ,-1.867735887331e-01  ,-1.804557633026e-01  
  1.453304062188e-07  ,-1.978517790549e-01  ,-1.905318429369e-01  
  1.525172362626e-07  ,-1.993749405032e-01  ,-1.913920190343e-01  
  1.598247657120e-07  ,-1.905486560420e-01  ,-1.823007165388e-01  
  1.699203024209e-07  ,-1.620972276078e-01  ,-1.541981809282e-01  
  1.789414654076e-07  ,-1.228718094317e-01  ,-1.159505869044e-01  
  1.838238308728e-07  ,-9.731924094992e-02  ,-9.116721921478e-02  
  1.865868786871e-07  ,-8.180505361802e-02  ,-7.615544312939e-02  
  1.883010710180e-07  ,-7.186279924910e-02  ,-6.654705258294e-02  
  1.905723805130e-07  ,-5.837323766886e-02  ,-5.352374577708e-02  
  1.951149995029e-07  ,-3.057302314057e-02  ,-2.672386362364e-02  
  1.988671118915e-07  ,-7.116643253851e-03  ,-4.151815411775e-03  
  2.021114672124e-07  ,1.325701261069e-02  ,1.542368547924e-02  
  2.040136004388e-07  ,2.515142466872e-02  ,2.684131146128e-02  
  2.064614886940e-07  ,4.032048330598e-02  ,4.138636138653e-02  
  2.095002079904e-07  ,5.880931411592e-02  ,5.908832674171e-02  
  2.155776465833e-07  ,9.401684484562e-02  ,9.273122606600e-02  
  2.212251866758e-07  ,1.236963160715e-01  ,1.210023881782e-01  
  2.271841610372e-07  ,1.507849146259e-01  ,1.466931113064e-01  
  2.301547075212e-07  ,1.623728457386e-01  ,1.576312448480e-01  
  2.330768252313e-07  ,1.723936217054e-01  ,1.670438804424e-01  
  2.354096020162e-07  ,1.793549113538e-01  ,1.735573611604e-01  
  2.379427994192e-07  ,1.858226923567e-01  ,1.795752097536e-01  
  2.430091942251e-07  ,1.951959461666e-01  ,1.881710565163e-01  
  2.506400788724e-07  ,1.999595654983e-01  ,1.921065995059e-01  
  2.587552512586e-07  ,1.924820885939e-01  ,1.842425137115e-01  
  2.695109094083e-07  ,1.635905196609e-01  ,1.556612166561e-01  
  2.791758025587e-07  ,1.217067403207e-01  ,1.148179570384e-01  
  2.843599165380e-07  ,9.436291838396e-02  ,8.830324856792e-02  
  2.868484104574e-07  ,8.030280343420e-02  ,7.470167905797e-02  
  2.886322657168e-07  ,6.991695991087e-02  ,6.466625215470e-02  
  2.910041580498e-07  ,5.577313229343e-02  ,5.101395796505e-02  
  2.957479427159e-07  ,2.663707889972e-02  ,2.293307412592e-02  
  2.992325792611e-07  ,4.821379604347e-03  ,1.944688518986e-03  
  3.026263187230e-07  ,-1.648293079021e-02  ,-1.852101419488e-02  
  3.045414904654e-07  ,-2.843831390232e-02  ,-2.999429716281e-02  
  3.065758714974e-07  ,-4.102415330382e-02  ,-4.206396923157e-02  
  3.106230268776e-07  ,-6.551432255972e-02  ,-6.551401066157e-02  
  3.173516462147e-07  ,-1.037038056954e-01  ,-1.019750224979e-01  
  3.222407172024e-07  ,-1.286465202553e-01  ,-1.257141488056e-01  
  3.275537262261e-07  ,-1.523002117553e-01  ,-1.481328082330e-01  
  3.302839914858e-07  ,-1.628457723034e-01  ,-1.580817158124e-01  
  3.329073409140e-07  ,-1.718513154847e-01  ,-1.665396191681e-01  
  3.353172312081e-07  ,-1.790973442153e-01  ,-1.733203687014e-01  
  3.378884265721e-07  ,-1.856960865991e-01  ,-1.794605840305e-01  
  3.430308173001e-07  ,-1.952255001582e-01  ,-1.881994235401e-01  
  3.502318034470e-07  ,-1.999946968049e-01  ,-1.921755727738e-01  
  3.584572444260e-07  ,-1.929821968159e-01  ,-1.847477539371e-01  
  3.693306217492e-07  ,-1.642395646981e-01  ,-1.562977760068e-01  
  3.791162143052e-07  ,-1.220036269883e-01  ,-1.151063843317e-01  
  3.843688736260e-07  ,-9.431329354026e-02  ,-8.825511165682e-02  
  3.869419316351e-07  ,-7.976429249045e-02  ,-7.418092035447e-02  
  3.887138659656e-07  ,-6.943637075822e-02  ,-6.420190047814e-02  
  3.910697395504e-07  ,-5.537729987715e-02  ,-5.063192167156e-02  
  3.957814867198e-07  ,-2.642817861439e-02  ,-2.273189866689e-02  
  3.992497319877e-07  ,-4.713636469989e-03  ,-1.841107979621e-03  
  4.026576275527e-07  ,1.667897275073e-02  ,1.870919659218e-02  
  4.045754069984e-07  ,2.864923626593e-02  ,3.019658506343e-02  
  4.065878088176e-07  ,4.109755996922e-02  ,4.213428561584e-02  
  4.106126124561e-07  ,6.545249364219e-02  ,6.545474489488e-02  
  4.173173899353e-07  ,1.035197024897e-01  ,1.017994395901e-01  
  4.222012455165e-07  ,1.284565289665e-01  ,1.255335332789e-01  
  4.275082940757e-07  ,1.521150327825e-01  ,1.479576519892e-01  
  4.302366966903e-07  ,1.626730770134e-01  ,1.579189690783e-01  
  4.328604186475e-07  ,1.717003145083e-01  ,1.663979840420e-01  
  4.353060717285e-07  ,1.790661249232e-01  ,1.732912423401e-01  
  4.378310734928e-07  ,1.855619542597e-01  ,1.793362583116e-01  
  4.428810770214e-07  ,1.950189906319e-01  ,1.880133937063e-01  
  4.501230413616e-07  ,1.999985058250e-01  ,1.921885064260e-01  
  4.583618933856e-07  ,1.931386429169e-01  ,1.849059234072e-01  
  4.692993457019e-07  ,1.643516244016e-01  ,1.564077097964e-01  
  4.791341120899e-07  ,1.219144996985e-01  ,1.150197570862e-01  
  4.844113583267e-07  ,9.407781442950e-02  ,8.802702825713e-02  
  4.869642997682e-07  ,7.963539074262e-02  ,7.405620100682e-02  
  4.887395868599e-07  ,6.928479140087e-02  ,6.405540296828e-02  
  4.911040286124e-07  ,5.517024657064e-02  ,5.043208817578e-02  
  4.958329121172e-07  ,2.610786237863e-02  ,2.242344619880e-02  
  4.993279794753e-07  ,4.222115822002e-03  ,1.368521168530e-03  
  5.028077731431e-07  ,-1.761889004909e-02  ,-1.961154056203e-02  
  5.047531197369e-07  ,-2.975387067608e-02  ,-3.125616777095e-02  
  5.066742519438e-07  ,-4.162895520562e-02  ,-4.264365079139e-02  
  5.105165163577e-07  ,-6.488165524009e-02  ,-6.490846644330e-02  
  5.165015677512e-07  ,-9.910028999593e-02  ,-9.759543250213e-02  
  5.212259809077e-07  ,-1.237002374121e-01  ,-1.210176791315e-01  
  5.264436224997e-07  ,-1.476875856877e-01  ,-1.437730644052e-01  
  5.292066703141e-07  ,-1.588235550996e-01  ,-1.542931079160e-01  
  5.321291605532e-07  ,-1.692990384414e-01  ,-1.641473958016e-01  
  5.331098432243e-07  ,-1.724987024535e-01  ,-1.671495158091e-01  
  5.349996829927e-07  ,-1.782004005635e-01  ,-1.724834154009e-01  
  5.387793625295e-07  ,-1.877020425532e-01  ,-1.813147891053e-01  
  5.463387216032e-07  ,-1.986784415280e-01  ,-1.912405597294e-01  
  5.532685066164e-07  ,-1.989465428995e-01  ,-1.909157380854e-01  
  5.604836488664e-07  ,-1.892503251687e-01  ,-1.809995183427e-01  
  5.701291705072e-07  ,-1.613250201178e-01  ,-1.534415273050e-01  
  5.788418794572e-07  ,-1.233649146253e-01  ,-1.164301001281e-01  
  5.835625673234e-07  ,-9.875006424569e-02  ,-9.255371224406e-02  
  5.864850575626e-07  ,-8.238843075162e-02  ,-7.672019500918e-02  
  5.875367070138e-07  ,-7.632355485358e-02  ,-7.085778310819e-02  
  5.892261261642e-07  ,-6.640908938856e-02  ,-6.127640881868e-02  
  5.926049644649e-07  ,-4.604753125091e-02  ,-4.163059076997e-02  
  5.993626410663e-07  ,-4.004376696306e-03  ,-1.157539908921e-03  
  6.033062333763e-07  ,2.073634382443e-02  ,2.260614557640e-02  
  6.053629661500e-07  ,3.353731596565e-02  ,3.488854594673e-02  
  6.074442858398e-07  ,4.634861128585e-02  ,4.716573639052e-02  
  6.116069252193e-07  ,7.132302898375e-02  ,7.105873756128e-02  
  6.172738368213e-07  ,1.032854623018e-01  ,1.015662454920e-01  
  6.217397148311e-07  ,1.262204371553e-01  ,1.233967078319e-01  
  6.268776352108e-07  ,1.495126632315e-01  ,1.454850521101e-01  
  6.295292968452e-07  ,1.600473877979e-01  ,1.554313545949e-01  
  6.321828211248e-07  ,1.694783001838e-01  ,1.643064831461e-01  
  6.341177369058e-07  ,1.756165197479e-01  ,1.700623981898e-01  
  6.364922369421e-07  ,1.822605775809e-01  ,1.762627441607e-01  
  6.412412370145e-07  ,1.924760946316e-01  ,1.857014565725e-01  
  6.481985891759e-07  ,1.996798088189e-01  ,1.920436921554e-01  
  6.560962046087e-07  ,1.963432863922e-01  ,1.881715735110e-01  
