  Time                 , V(D2:2)              , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,4.712340533227e-03  ,4.702655310862e-03  
  4.737968146801e-10  ,8.930529776111e-03  ,8.909837505061e-03  
  9.213904440403e-10  ,1.736537541688e-02  ,1.731517566970e-02  
  1.816577702761e-09  ,3.422309892402e-02  ,3.407228732587e-02  
  3.606952220201e-09  ,6.784403835756e-02  ,6.735200937254e-02  
  7.187701255083e-09  ,1.343365259811e-01  ,1.327033377807e-01  
  1.246792772412e-08  ,2.290514132921e-01  ,2.249357910442e-01  
  1.747248271108e-08  ,3.130567669431e-01  ,3.060466803597e-01  
  2.303955653310e-08  ,3.973461127960e-01  ,3.868971793232e-01  
  2.822739580274e-08  ,4.650283223857e-01  ,4.513190367937e-01  
  3.085409799218e-08  ,4.946973019513e-01  ,4.794013557996e-01  
  3.212591210008e-08  ,5.078645130388e-01  ,4.918238253925e-01  
  3.389691510797e-08  ,5.248451547703e-01  ,5.077949239067e-01  
  3.682313063741e-08  ,5.493202266790e-01  ,5.306893864890e-01  
  4.267556169629e-08  ,5.841856059026e-01  ,5.628087429076e-01  
  4.919034937024e-08  ,5.998059145849e-01  ,5.761577857115e-01  
  5.687189796567e-08  ,5.860720570878e-01  ,5.609991759985e-01  
  7.059735754132e-08  ,4.787066934953e-01  ,4.547736945612e-01  
  8.177769878507e-08  ,3.250261777534e-01  ,3.053057471577e-01  
  8.706835606694e-08  ,2.371056759783e-01  ,2.202661171298e-01  
  8.847726085782e-08  ,2.124858046934e-01  ,1.964995984611e-01  
  8.998972871900e-08  ,1.855943201515e-01  ,1.705570794878e-01  
  9.234150448442e-08  ,1.429704932363e-01  ,1.294694940484e-01  
  9.704505601525e-08  ,5.561941498926e-02  ,4.538043169451e-02  
  1.008001486361e-07  ,-1.508085810555e-02  ,-2.257539426932e-02  
  1.052541057169e-07  ,-9.858844781020e-02  ,-1.027019790054e-01  
  1.083166668713e-07  ,-1.549879549669e-01  ,-1.567387556091e-01  
  1.115703354180e-07  ,-2.133245911457e-01  ,-2.125402946610e-01  
  1.180776725113e-07  ,-3.227312926641e-01  ,-3.169494145115e-01  
  1.228967080414e-07  ,-3.953245607384e-01  ,-3.859790775952e-01  
  1.282045016587e-07  ,-4.647555077493e-01  ,-4.517102681504e-01  
  1.309463153183e-07  ,-4.956788486676e-01  ,-4.808398148732e-01  
  1.322216684520e-07  ,-5.088233261488e-01  ,-4.931794772687e-01  
  1.340241501629e-07  ,-5.260031605117e-01  ,-5.092660685964e-01  
  1.369559536278e-07  ,-5.503225144795e-01  ,-5.319203707567e-01  
  1.428195605576e-07  ,-5.847987036490e-01  ,-5.635385059677e-01  
  1.494706938565e-07  ,-5.999170483818e-01  ,-5.762892147102e-01  
  1.571611831486e-07  ,-5.848797833880e-01  ,-5.598298075430e-01  
  1.718283961117e-07  ,-4.643630654834e-01  ,-4.407688165866e-01  
  1.842783162892e-07  ,-2.844439879253e-01  ,-2.659994424826e-01  
  1.900927493870e-07  ,-1.837466942755e-01  ,-1.687318067636e-01  
  1.913977185786e-07  ,-1.601826369426e-01  ,-1.460164305901e-01  
  1.926915118992e-07  ,-1.365545323466e-01  ,-1.232519285149e-01  
  1.952790985405e-07  ,-8.866102426858e-02  ,-7.714000894045e-02  
  1.990937958062e-07  ,-1.707923929524e-02  ,-8.302127972312e-03  
  2.028615544140e-07  ,5.386640595241e-02  ,5.982936321093e-02  
  2.049223850071e-07  ,9.241540533997e-02  ,9.680418486891e-02  
  2.068267534077e-07  ,1.276970473661e-01  ,1.306145085259e-01  
  2.106354902089e-07  ,1.967649190177e-01  ,1.967225425792e-01  
  2.170444796383e-07  ,3.061462155843e-01  ,3.011576471241e-01  
  2.218635151684e-07  ,3.804686013503e-01  ,3.718813046238e-01  
  2.270915875733e-07  ,4.512064561154e-01  ,4.389209305738e-01  
  2.297872076333e-07  ,4.830417365894e-01  ,4.689532487446e-01  
  2.324183801711e-07  ,5.107785549284e-01  ,4.950149716177e-01  
  2.345462659895e-07  ,5.306668962713e-01  ,5.136244730986e-01  
  2.369479606450e-07  ,5.502624698910e-01  ,5.318657405653e-01  
  2.417513499558e-07  ,5.799665822452e-01  ,5.591756762186e-01  
  2.488204608262e-07  ,5.995880959704e-01  ,5.761478125730e-01  
  2.568790087998e-07  ,5.860433300675e-01  ,5.610201767263e-01  
  2.698921928704e-07  ,4.866018584365e-01  ,4.625111874873e-01  
  2.808475265801e-07  ,3.396232246256e-01  ,3.194582802444e-01  
  2.860338757336e-07  ,2.548896598167e-01  ,2.374568836193e-01  
  2.876202906072e-07  ,2.275135977468e-01  ,2.110169014881e-01  
  2.893540407121e-07  ,1.969513327088e-01  ,1.815220544528e-01  
  2.927727396190e-07  ,1.350631639711e-01  ,1.218575899858e-01  
  2.996101374328e-07  ,7.348552531515e-03  ,-1.027615464926e-03  
  3.035812968910e-07  ,-6.736352625827e-02  ,-7.276937012202e-02  
  3.060329104364e-07  ,-1.130380876095e-01  ,-1.165661514303e-01  
  3.082792604864e-07  ,-1.543066843891e-01  ,-1.560932791260e-01  
  3.127719605863e-07  ,-2.343377384634e-01  ,-2.326303245458e-01  
  3.180007780492e-07  ,-3.215084597055e-01  ,-3.157851553817e-01  
  3.236557687223e-07  ,-4.059743479073e-01  ,-3.960830750775e-01  
  3.289322699010e-07  ,-4.733094471970e-01  ,-4.597614523071e-01  
  3.313626492918e-07  ,-5.000583326174e-01  ,-4.849380650123e-01  
  3.325558597744e-07  ,-5.121334660138e-01  ,-4.962701209542e-01  
  3.342508668602e-07  ,-5.280457378985e-01  ,-5.111633359592e-01  
  3.376408810318e-07  ,-5.553385199603e-01  ,-5.365605854329e-01  
  3.444209093750e-07  ,-5.908074555244e-01  ,-5.688847196027e-01  
  3.510549063385e-07  ,-5.996705351753e-01  ,-5.756281339053e-01  
  3.584980363548e-07  ,-5.787442169284e-01  ,-5.535984399199e-01  
  3.697290415466e-07  ,-4.883946555292e-01  ,-4.642673955946e-01  
  3.794520492256e-07  ,-3.609745217846e-01  ,-3.401645381715e-01  
  3.846816117465e-07  ,-2.777279396986e-01  ,-2.595311092928e-01  
  3.861152897179e-07  ,-2.534995696333e-01  ,-2.361158921525e-01  
  3.883191714585e-07  ,-2.152699631134e-01  ,-1.992004893782e-01  
  3.906377921402e-07  ,-1.739400489429e-01  ,-1.593301788383e-01  
  3.952750335038e-07  ,-8.873680650325e-02  ,-7.724564559878e-02  
  3.987436513007e-07  ,-2.367546688784e-02  ,-1.466313075443e-02  
  4.019794384539e-07  ,3.728749266433e-02  ,4.390390682200e-02  
  4.038908849061e-07  ,7.315894949260e-02  ,7.832594310396e-02  
  4.063741634190e-07  ,1.193487515629e-01  ,1.226060839425e-01  
  4.091949532330e-07  ,1.709203718101e-01  ,1.719924158567e-01  
  4.148365328610e-07  ,2.696452767461e-01  ,2.663525836658e-01  
  4.202471444905e-07  ,3.564293407189e-01  ,3.490247062794e-01  
  4.264557133019e-07  ,4.432164071723e-01  ,4.313416773154e-01  
  4.301210264266e-07  ,4.867475959580e-01  ,4.724222998678e-01  
  4.335073153079e-07  ,5.212472138457e-01  ,5.048040427746e-01  
  4.346742624938e-07  ,5.317884661843e-01  ,5.146562070923e-01  
  4.366743708551e-07  ,5.481863250413e-01  ,5.299253391147e-01  
  4.406745875776e-07  ,5.744348348161e-01  ,5.541338173004e-01  
