  Time                 , V(Vsin:+)            , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,1.178085133307e-01  ,1.175663827100e-01  
  4.737968146801e-10  ,2.232632444028e-01  ,2.227459369554e-01  
  9.213904440403e-10  ,4.341343854221e-01  ,4.328439425505e-01  
  1.816577702761e-09  ,8.555774731006e-01  ,8.517734773835e-01  
  3.606952220201e-09  ,1.696100958939e+00  ,1.683724645411e+00  
  7.187701255083e-09  ,3.358413149528e+00  ,3.315491571060e+00  
  1.164538362622e-08  ,5.366154793998e+00  ,5.231612512233e+00  
  1.527679660916e-08  ,6.925819072634e+00  ,4.969233460281e+00  
  1.913470724225e-08  ,8.483677501365e+00  ,3.139316542318e+00  
  2.340836027265e-08  ,1.006320553046e+01  ,2.786870506324e+00  
  2.786231735349e-08  ,1.151623367967e+01  ,2.641650366595e+00  
  3.024538555741e-08  ,1.220286232850e+01  ,2.603276031423e+00  
  3.151533702016e-08  ,1.254107697286e+01  ,2.583936303926e+00  
  3.324685195088e-08  ,1.296995644189e+01  ,2.552685683325e+00  
  3.582102754712e-08  ,1.353628173473e+01  ,2.500186842395e+00  
  4.096937873960e-08  ,1.440037279875e+01  ,2.390727168423e+00  
  4.696113565564e-08  ,1.493169480210e+01  ,2.267835128758e+00  
  5.466652610898e-08  ,1.483909467029e+01  ,2.111704861823e+00  
  6.316167810559e-08  ,1.373588363187e+01  ,1.941611406472e+00  
  7.357013919950e-08  ,1.107219488454e+01  ,1.730470755342e+00  
  8.367610672116e-08  ,7.359680367634e+00  ,1.501134341687e+00  
  8.891908028722e-08  ,5.116930497784e+00  ,1.349328166868e+00  
  9.008956649899e-08  ,4.595095168683e+00  ,1.302733613701e+00  
  9.125055322051e-08  ,4.071355836221e+00  ,1.250265755927e+00  
  9.357252666354e-08  ,3.008334288485e+00  ,1.126489097418e+00  
  9.821647354960e-08  ,8.400273354102e-01  ,5.780771627299e-01  
