  Time                 , V(D2:2)              , V(D4:1)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,3.926950444356e-02  ,3.918879425492e-02  
  3.859498128295e-10  ,6.062336938319e-02  ,6.049090877483e-02  
  6.578494384885e-10  ,1.033273922087e-01  ,1.030649571280e-01  
  1.201648689806e-09  ,1.887097046767e-01  ,1.880646942948e-01  
  2.041422255337e-09  ,3.204460833643e-01  ,3.189072669557e-01  
  2.837982453406e-09  ,4.451988705231e-01  ,4.424912516042e-01  
  3.591515548527e-09  ,5.629576842439e-01  ,5.588701634241e-01  
  3.992403350770e-09  ,6.254822804761e-01  ,6.205602815150e-01  
  4.108178388327e-09  ,6.435211459917e-01  ,6.383453616002e-01  
  4.289064515382e-09  ,6.716878155018e-01  ,6.661044014442e-01  
  4.466434899718e-09  ,6.992859745564e-01  ,6.932898747223e-01  
  4.815401468426e-09  ,7.535196602434e-01  ,7.466751427604e-01  
  5.513334605843e-09  ,8.617088309627e-01  ,8.530273000143e-01  
  6.909200880677e-09  ,1.076792587800e+00  ,1.063910958695e+00  
  9.700933430344e-09  ,1.500339398049e+00  ,1.477149371984e+00  
  1.486940119043e-08  ,2.251654968364e+00  ,2.202840821047e+00  
  2.408725950494e-08  ,3.432714404033e+00  ,3.292837345402e+00  
  3.050146434084e-08  ,4.090880844424e+00  ,3.133220059053e+00  
  3.676144215837e-08  ,4.573762242411e+00  ,2.461795403596e+00  
  4.269061419740e-08  ,4.868752117120e+00  ,2.285080877946e+00  
  5.068061682954e-08  ,4.998857046466e+00  ,2.176227411891e+00  
  5.995956990495e-08  ,4.757241233123e+00  ,2.083949840524e+00  
  7.851747605577e-08  ,3.124070425805e+00  ,1.867380308179e+00  
  8.164262208715e-08  ,2.726361984215e+00  ,1.799808441946e+00  
  8.789291414991e-08  ,1.856252093831e+00  ,1.577641141380e+00  
  9.470274481550e-08  ,8.282554192594e-01  ,7.186686696243e-01  
  9.588664207235e-08  ,6.443279709106e-01  ,5.467238021046e-01  
  9.790649447218e-08  ,3.286100528917e-01  ,2.490389904017e-01  
  9.878407973424e-08  ,1.909498623224e-01  ,1.184643058815e-01  
  9.917965899780e-08  ,1.288445994323e-01  ,5.943447669910e-02  
  9.963759030774e-08  ,5.692595145300e-02  ,-9.004506905949e-03  
  1.002259999104e-07  ,-3.549968465080e-02  ,-9.707557550156e-02  
  1.008138507195e-07  ,-1.278254440826e-01  ,-1.851691487378e-01  
  1.009818845950e-07  ,-1.542096130607e-01  ,-2.103634176594e-01  
  1.010479153655e-07  ,-1.645764287446e-01  ,-2.202650371127e-01  
  1.011560651995e-07  ,-1.815543772459e-01  ,-2.364838082039e-01  
  1.013148324154e-07  ,-2.064746652138e-01  ,-2.602956418654e-01  
  1.015806318782e-07  ,-2.481830497315e-01  ,-3.001638451166e-01  
  1.020764680170e-07  ,-3.259395461178e-01  ,-3.745365887010e-01  
  1.026629218422e-07  ,-4.178030411391e-01  ,-4.624734146956e-01  
  1.032660463415e-07  ,-5.121296408596e-01  ,-5.528374239941e-01  
  1.036438373439e-07  ,-5.711233487374e-01  ,-6.093836595640e-01  
  1.038775527440e-07  ,-6.075792738455e-01  ,-6.443377006532e-01  
  1.039562611431e-07  ,-6.198492705870e-01  ,-6.561038884358e-01  
  1.040898593664e-07  ,-6.406674268187e-01  ,-6.760691070640e-01  
  1.042441329509e-07  ,-6.646932898329e-01  ,-6.991133952250e-01  
  1.045526801199e-07  ,-7.126976110316e-01  ,-7.451649209287e-01  
  1.049877474606e-07  ,-7.802713382342e-01  ,-8.100067214763e-01  
  1.058578821421e-07  ,-9.149689029157e-01  ,-9.393059801767e-01  
  1.075981515050e-07  ,-1.182212859244e+00  ,-1.195939969920e+00  
  1.110786902308e-07  ,-1.705314295433e+00  ,-1.697988951854e+00  
  1.170257436633e-07  ,-2.548686919034e+00  ,-2.502197379243e+00  
  1.281136977077e-07  ,-3.863925746775e+00  ,-3.548567442135e+00  
  1.346575426459e-07  ,-4.430353719264e+00  ,-2.712780372502e+00  
  1.405651080012e-07  ,-4.781962266679e+00  ,-2.296196361522e+00  
  1.480946647525e-07  ,-4.991045262039e+00  ,-2.159873320125e+00  
  1.571977841258e-07  ,-4.872712413760e+00  ,-2.144842886183e+00  
  1.710201012492e-07  ,-3.948839022152e+00  ,-1.953180762004e+00  
  1.735018896461e-07  ,-3.697955701499e+00  ,-1.924689423529e+00  
  1.784654664397e-07  ,-3.130444900590e+00  ,-1.855806862034e+00  
  1.883926200271e-07  ,-1.783142460356e+00  ,-1.549264096089e+00  
  1.975374626517e-07  ,-3.864287290449e-01  ,-3.026608731310e-01  
  1.985997291803e-07  ,-2.198830906955e-01  ,-1.449163253366e-01  
  1.997607159019e-07  ,-3.758630423879e-02  ,2.822541633773e-02  
  2.010358827710e-07  ,1.626873656483e-01  ,2.191055689060e-01  
  2.016176799834e-07  ,2.539952096190e-01  ,3.063095942203e-01  
  2.017637346461e-07  ,2.769050474183e-01  ,3.282047164855e-01  
  2.019027345404e-07  ,2.987028814679e-01  ,3.490426716745e-01  
  2.021807343289e-07  ,3.422810461140e-01  ,3.907160246808e-01  
